
[00:00:00.000 --> 00:00:07.480]   [MUSIC PLAYING]
[00:02:17.480 --> 00:02:21.600]   with millions of coordinated measurements
[00:02:21.600 --> 00:02:25.480]   in a very strictly aligned grid.
[00:02:25.480 --> 00:02:28.440]   So very precise kind of measurements next to each other
[00:02:28.440 --> 00:02:30.480]   in slightly different directions,
[00:02:30.480 --> 00:02:34.320]   differing by literally arc seconds or fraction of arc
[00:02:34.320 --> 00:02:39.600]   seconds in angle.
[00:02:39.600 --> 00:02:41.400]   The other thing that's actually really interesting
[00:02:41.400 --> 00:02:45.840]   is to realize that it's not a local measurement.
[00:02:45.840 --> 00:02:48.360]   I mean, it's a local measurement of incoming light.
[00:02:48.360 --> 00:02:50.400]   But in a sense, given the speed of light,
[00:02:50.400 --> 00:02:52.600]   you're essentially observing anything
[00:02:52.600 --> 00:02:55.840]   that happens in any direction that it means light towards
[00:02:55.840 --> 00:02:58.880]   or reflects light towards you up to, in this case,
[00:02:58.880 --> 00:03:00.760]   many, many kilometers away.
[00:03:00.760 --> 00:03:01.960]   All of that in an instance, you're
[00:03:01.960 --> 00:03:04.160]   measuring all of these points, like the light coming in
[00:03:04.160 --> 00:03:05.080]   from all of this.
[00:03:05.080 --> 00:03:06.960]   So if you just think a little bit about that,
[00:03:06.960 --> 00:03:08.520]   it's actually quite amazing.
[00:03:08.520 --> 00:03:12.840]   And we have very few other sensors
[00:03:12.840 --> 00:03:19.200]   that do anything near this type of amount of sensors
[00:03:19.200 --> 00:03:21.600]   and the flexibility to be able to scan,
[00:03:21.600 --> 00:03:25.320]   to measure some property that could come from just
[00:03:25.320 --> 00:03:28.640]   like nearby from a half meter away all the way
[00:03:28.640 --> 00:03:32.080]   to tens or hundreds of kilometers potentially away.
[00:03:32.080 --> 00:03:33.560]   Or if you take pictures of the stars,
[00:03:33.560 --> 00:03:35.600]   it's of course even much further away.
[00:03:35.600 --> 00:03:38.040]   But then you start noticing maybe the speed of light
[00:03:38.040 --> 00:03:41.520]   would actually play some non-trivial effect.
[00:03:41.520 --> 00:03:44.240]   But anyway, so in a sense, really,
[00:03:44.240 --> 00:03:46.000]   I think it's good to pause just a little bit
[00:03:46.000 --> 00:03:48.280]   and kind of realize actually what you get out of the sensor.
[00:03:48.280 --> 00:03:51.360]   Also, if you think then video sensors, think of this,
[00:03:51.360 --> 00:03:54.600]   then also at actually quite sustained rate
[00:03:54.600 --> 00:03:57.440]   of capturing one image after the other
[00:03:57.440 --> 00:04:00.720]   in a very systematic way.
[00:04:00.720 --> 00:04:02.840]   So in a sense, you could say this here.
[00:04:02.840 --> 00:04:03.800]   So these are the cameras.
[00:04:03.800 --> 00:04:06.720]   They're the best sensor ever in many dimensions,
[00:04:06.720 --> 00:04:09.800]   if you look at it.
[00:04:09.800 --> 00:04:12.680]   Of course, that's not fully true.
[00:04:12.680 --> 00:04:14.080]   And here it's just a little--
[00:04:14.080 --> 00:04:15.920]   this is more a gimmick video.
[00:04:15.920 --> 00:04:17.920]   And I'm not sure if the sun will play.
[00:04:17.920 --> 00:04:20.400]   [INAUDIBLE]
[00:04:20.400 --> 00:04:21.760]   Let me bring it over here.
[00:04:21.760 --> 00:04:22.760]   OK.
[00:04:22.760 --> 00:04:23.440]   So our movie.
[00:04:23.440 --> 00:04:24.920]   [BEEPING]
[00:04:24.920 --> 00:04:25.920]   Focus on the drop.
[00:04:25.920 --> 00:04:33.920]   Enhance, then forward, frame by frame.
[00:04:33.920 --> 00:04:34.420]   OK.
[00:04:34.420 --> 00:04:36.120]   Some people imagine even better sensors.
[00:04:36.120 --> 00:04:37.400]   Just before the views blocked, there's
[00:04:37.400 --> 00:04:38.800]   a shape change in Dean's bag.
[00:04:38.800 --> 00:04:40.480]   See the shadow variance?
[00:04:40.480 --> 00:04:41.080]   See?
[00:04:41.080 --> 00:04:42.000]   The shadow's wrong.
[00:04:42.000 --> 00:04:45.680]   Xavits changed the configuration of Dean's packages.
[00:04:45.680 --> 00:04:47.160]   Is it a tape?
[00:04:47.160 --> 00:04:48.160]   It's hard to say for sure.
[00:04:48.160 --> 00:04:48.840]   These things are--
[00:04:48.840 --> 00:04:50.680]   Computer takes around the other side?
[00:04:50.680 --> 00:04:51.920]   It can hypothesize.
[00:04:51.920 --> 00:04:52.640]   Chris?
[00:04:52.640 --> 00:04:53.140]   Yeah?
[00:04:53.140 --> 00:04:56.200]   Can you rotate a 75 degrees around the vertical, please?
[00:04:56.200 --> 00:05:01.960]   What do you think it is?
[00:05:01.960 --> 00:05:03.480]   It looks a lot bigger than the tape.
[00:05:03.480 --> 00:05:05.560]   Xavits had digital compression equipment in his apartment.
[00:05:05.560 --> 00:05:07.400]   He could have downloaded it to anything.
[00:05:07.400 --> 00:05:09.640]   Or maybe the bag twisted in Dean's pants
[00:05:09.640 --> 00:05:11.120]   or something moved in front of light
[00:05:11.120 --> 00:05:12.240]   and then altered the shadow.
[00:05:12.240 --> 00:05:13.040]   Maybe it's nothing.
[00:05:13.040 --> 00:05:14.520]   Maybe it's everything.
[00:05:14.520 --> 00:05:17.040]   Let's get it and find out.
[00:05:17.040 --> 00:05:17.520]   OK.
[00:05:17.520 --> 00:05:18.560]   I'll leave you with that.
[00:05:18.560 --> 00:05:24.520]   Anyway, so we can't do that type of stuff, of course.
[00:05:24.520 --> 00:05:27.240]   Watch everything that happens anywhere with sensors.
[00:05:27.240 --> 00:05:31.440]   But still, so video cameras or digital cameras
[00:05:31.440 --> 00:05:33.560]   are actually quite amazing.
[00:05:33.560 --> 00:05:35.360]   But there's also plenty of problems,
[00:05:35.360 --> 00:05:37.200]   plenty of things that you might not be aware of.
[00:05:37.200 --> 00:05:39.240]   But are happening under the hood.
[00:05:39.240 --> 00:05:42.680]   And that in some circumstances can actually
[00:05:42.680 --> 00:05:43.400]   create challenges.
[00:05:43.400 --> 00:05:47.600]   Here's one example.
[00:05:47.600 --> 00:05:51.000]   There can be issues of transmission interferences.
[00:05:51.000 --> 00:05:53.080]   If you are sending the data-- so the sensor might not
[00:05:53.080 --> 00:05:53.720]   be the problem.
[00:05:53.720 --> 00:05:55.640]   But then if you are transmitting from somewhere
[00:05:55.640 --> 00:05:59.600]   else the data, there might be issues with transmitting.
[00:05:59.600 --> 00:06:04.800]   There are-- you're not necessarily in a position
[00:06:04.800 --> 00:06:07.840]   to always be able to get the actual, all the raw exact
[00:06:07.840 --> 00:06:08.400]   measurements.
[00:06:08.400 --> 00:06:11.000]   You might have to compress your data
[00:06:11.000 --> 00:06:12.200]   to be able to transmit it.
[00:06:12.200 --> 00:06:15.160]   So in many images, you might--
[00:06:15.160 --> 00:06:17.720]   instead of having the actual raw signal,
[00:06:17.720 --> 00:06:19.040]   you might have something like this
[00:06:19.040 --> 00:06:24.040]   where you might kind of notice a certain regular pattern that
[00:06:24.040 --> 00:06:27.400]   probably has nothing to do with the landscape
[00:06:27.400 --> 00:06:28.760]   that you're looking at.
[00:06:28.760 --> 00:06:31.000]   But it's just something that comes from the image.
[00:06:31.000 --> 00:06:34.040]   And image compression in particular.
[00:06:34.040 --> 00:06:36.400]   We'll see this in a few weeks.
[00:06:36.400 --> 00:06:40.360]   Why these all are-- if you would count the pixels here,
[00:06:40.360 --> 00:06:44.040]   I think these are all eight pixels or so, probably.
[00:06:44.040 --> 00:06:45.560]   Eight points by eight points or so.
[00:06:45.560 --> 00:06:47.320]   Or this is kind of a--
[00:06:47.320 --> 00:06:50.200]   you can kind of see a grid pattern showing up here.
[00:06:50.200 --> 00:06:53.360]   And that has to do with how images typically get compressed.
[00:06:53.360 --> 00:07:00.000]   OK.
[00:07:00.000 --> 00:07:01.360]   Let me switch off the sound.
[00:07:01.800 --> 00:07:10.520]   There can be issues with the pixel sensors saturating,
[00:07:10.520 --> 00:07:12.720]   in certain ways.
[00:07:12.720 --> 00:07:17.880]   So there might be a very bright point over here.
[00:07:17.880 --> 00:07:21.440]   And that could overflow neighboring pixels.
[00:07:21.440 --> 00:07:23.400]   The way that it's measured, every sensor is--
[00:07:23.400 --> 00:07:26.040]   these sensors are physical things next to each other.
[00:07:26.040 --> 00:07:30.200]   There can be situations where this can transfer.
[00:07:30.200 --> 00:07:32.760]   And you have unwanted one pixel kind of gets--
[00:07:32.760 --> 00:07:34.600]   doesn't directly get the light, but the neighbor
[00:07:34.600 --> 00:07:36.840]   has a lot of electrons way too many to contain there.
[00:07:36.840 --> 00:07:38.560]   And they spill over to neighbors.
[00:07:38.560 --> 00:07:45.720]   There can be scratches or other issues, sensor noise.
[00:07:45.720 --> 00:07:50.880]   There can be issues of bad contrast.
[00:07:50.880 --> 00:07:53.760]   It can be hard to get the contrast you want in the images
[00:07:53.760 --> 00:07:55.400]   due to a multitude of reasons.
[00:07:58.720 --> 00:08:04.080]   If you have low contrast, just somehow digitally boosting
[00:08:04.080 --> 00:08:06.000]   contrast, or in this case, maybe analog,
[00:08:06.000 --> 00:08:07.680]   in an analog way, boosting the contrast.
[00:08:07.680 --> 00:08:09.360]   But anyways, just boosting the contrast
[00:08:09.360 --> 00:08:13.000]   and trying to take the values you have and pull them apart,
[00:08:13.000 --> 00:08:15.760]   which is what boosting contrast would be,
[00:08:15.760 --> 00:08:17.760]   doesn't necessarily--
[00:08:17.760 --> 00:08:21.760]   it's not necessarily that helpful in getting a better image.
[00:08:21.760 --> 00:08:24.560]   So we'll have to kind of somehow--
[00:08:24.560 --> 00:08:27.280]   there are limits in what we can do in restoring images,
[00:08:27.280 --> 00:08:30.520]   in processing images, and so on.
[00:08:30.520 --> 00:08:32.760]   Resolution can be an issue.
[00:08:32.760 --> 00:08:35.680]   If you take a picture, you might only have this many
[00:08:35.680 --> 00:08:38.160]   measurements, and therefore only see things that
[00:08:38.160 --> 00:08:40.560]   are certain-- up to a certain resolution.
[00:08:40.560 --> 00:08:45.240]   For example, struggling to read here a license plate.
[00:08:45.240 --> 00:08:50.120]   And then you might have heard already of super resolution
[00:08:50.120 --> 00:08:53.600]   methods that somehow manage to go beyond what you can see
[00:08:53.600 --> 00:08:55.800]   in the original image or images.
[00:08:55.800 --> 00:09:03.520]   There's also there are significant limitations
[00:09:03.520 --> 00:09:06.920]   in what you can do.
[00:09:06.920 --> 00:09:11.880]   But here's an example, a little bit showing what can be done.
[00:09:11.880 --> 00:09:14.640]   So let's say you start here from a relatively low resolution,
[00:09:14.640 --> 00:09:18.720]   but a low resolution video, where if you look at it,
[00:09:18.720 --> 00:09:20.880]   most of the pictures actually really picture--
[00:09:20.880 --> 00:09:25.520]   the same picture just with a little bit of displacement.
[00:09:25.520 --> 00:09:27.360]   In a sense, that means that we're now
[00:09:27.360 --> 00:09:29.320]   having many measurements of the same thing that
[00:09:29.320 --> 00:09:31.440]   are kind of redundant measurements.
[00:09:31.440 --> 00:09:34.080]   And that can actually be leveraged,
[00:09:34.080 --> 00:09:38.000]   as you see in this video here.
[00:09:38.000 --> 00:09:41.120]   And what we'll actually see then with in terms of what
[00:09:41.120 --> 00:09:42.400]   principles we can apply.
[00:09:42.400 --> 00:09:47.000]   And we'll understand the math and the mathematical models
[00:09:47.000 --> 00:09:51.160]   underlying this and it allows us to do super resolution,
[00:09:51.160 --> 00:09:53.840]   to restore resolution that's actually not present in any
[00:09:53.840 --> 00:09:57.560]   of the images that we actually have at our disposal.
[00:09:57.560 --> 00:10:00.600]   But by combining them, we can actually
[00:10:00.600 --> 00:10:03.320]   restore some of a higher resolution.
[00:10:03.320 --> 00:10:06.920]   But we'll also see that, yes, you can maybe get a factor of 2
[00:10:06.920 --> 00:10:11.240]   or a factor of 3 with normal images coming
[00:10:11.240 --> 00:10:15.080]   from normal cameras, but that it will not be possible.
[00:10:15.080 --> 00:10:16.640]   That intrinsically, there's no hope
[00:10:16.640 --> 00:10:19.720]   to really get much beyond that because of reasons
[00:10:19.720 --> 00:10:24.600]   that you'll actually learn about in this course.
[00:10:24.600 --> 00:10:31.040]   You see here, for example.
[00:10:31.040 --> 00:10:39.200]   So you see that you can actually really boost the resolution.
[00:10:39.200 --> 00:10:41.680]   And maybe at a high level, what happens
[00:10:41.680 --> 00:10:44.040]   is because we have this slightly displaced--
[00:10:44.040 --> 00:10:48.000]   this was a kind of video that was taking slightly displaced
[00:10:48.000 --> 00:10:49.320]   images.
[00:10:49.320 --> 00:10:53.520]   In a sense, what we do is every of those measurements
[00:10:53.520 --> 00:10:55.040]   is a slightly displaced version.
[00:10:55.040 --> 00:10:57.400]   And so it's as if you were taking measurements
[00:10:57.400 --> 00:10:58.920]   at a high resolution in between.
[00:10:58.920 --> 00:11:02.480]   So an image that's shifted by half pixel
[00:11:02.480 --> 00:11:04.640]   essentially allows you to get a little bit of a view
[00:11:04.640 --> 00:11:07.800]   in between the two pixels of the original image, et cetera.
[00:11:07.800 --> 00:11:09.920]   And so if you get many measurements,
[00:11:09.920 --> 00:11:13.000]   you can start recovering a little bit the resolution,
[00:11:13.000 --> 00:11:17.160]   except that you don't actually--
[00:11:17.160 --> 00:11:19.480]   as we'll see with typical cameras,
[00:11:19.480 --> 00:11:23.240]   you actually don't get a strict point measurement, a point
[00:11:23.240 --> 00:11:27.680]   sample at one exact location, in which case you could actually,
[00:11:27.680 --> 00:11:32.000]   with infinite many images, you could recover a super resolution
[00:11:32.000 --> 00:11:34.400]   image of infinite resolution.
[00:11:34.400 --> 00:11:37.200]   But you actually get a somewhat blurred version
[00:11:37.200 --> 00:11:40.840]   because the size of the pixel actually corresponds
[00:11:40.840 --> 00:11:42.640]   to some type of blurring.
[00:11:42.640 --> 00:11:44.800]   And therefore, this will intrinsically limit
[00:11:44.800 --> 00:11:47.360]   how much resolution we can recuperate
[00:11:47.360 --> 00:11:52.320]   based on issues of how precise the signal is that we can read,
[00:11:52.320 --> 00:11:55.360]   with a limited signal to noise ratio, et cetera, et cetera.
[00:11:55.360 --> 00:11:57.960]   So all of this is probably--
[00:11:57.960 --> 00:11:59.480]   you don't have enough information yet
[00:11:59.480 --> 00:12:02.320]   to be able to really exactly understand what I'm saying now
[00:12:02.320 --> 00:12:04.440]   so that that's normal.
[00:12:04.440 --> 00:12:06.240]   But these are a little bit of different concepts
[00:12:06.240 --> 00:12:08.520]   that will come back in the coming weeks that will allow you
[00:12:08.520 --> 00:12:11.680]   to really understand what are the intrinsic limitations
[00:12:11.680 --> 00:12:12.960]   of super resolution.
[00:12:12.960 --> 00:12:26.600]   Then another effect is effect of motion blur.
[00:12:26.600 --> 00:12:28.440]   You've probably all seen if you take a picture,
[00:12:28.440 --> 00:12:31.280]   either if you move with your camera while you take the picture,
[00:12:31.280 --> 00:12:34.480]   or there's very little light and you're somehow not holding
[00:12:34.480 --> 00:12:36.920]   the camera very still, or you're zooming in very far.
[00:12:36.920 --> 00:12:39.520]   And so the image moves a lot.
[00:12:39.520 --> 00:12:46.800]   But you need a long exposure because there's not much light.
[00:12:46.800 --> 00:12:49.400]   Or you have a very fast moving object like here.
[00:12:49.400 --> 00:12:52.600]   So you have maybe a static camera,
[00:12:52.600 --> 00:12:54.000]   but there's not much light.
[00:12:54.000 --> 00:12:56.680]   The camera needs to accumulate light for a little bit of time.
[00:12:56.680 --> 00:13:00.560]   So the exposure takes a little bit of time.
[00:13:00.560 --> 00:13:03.360]   And you have a fast object that moves past the camera.
[00:13:03.360 --> 00:13:06.120]   Then that gets smeared out, essentially.
[00:13:06.120 --> 00:13:08.560]   Because essentially, what is this effect here?
[00:13:08.560 --> 00:13:11.960]   It's simply the fact that while the camera is getting light
[00:13:11.960 --> 00:13:14.440]   to come into every pixel from every direction
[00:13:14.440 --> 00:13:16.440]   and creates the image that way, it
[00:13:16.440 --> 00:13:18.880]   does that for a finite period of time.
[00:13:18.880 --> 00:13:20.720]   And during that finite period of time,
[00:13:20.720 --> 00:13:23.520]   you actually have observable motion,
[00:13:23.520 --> 00:13:25.640]   meaning that at the beginning you see the car,
[00:13:25.640 --> 00:13:29.320]   and then the car has moved on, and now you see the background.
[00:13:29.320 --> 00:13:31.040]   So the pixels over here, for example.
[00:13:31.040 --> 00:13:33.720]   So those are mixed pixels.
[00:13:33.720 --> 00:13:35.360]   Also the pixels here are essentially
[00:13:35.360 --> 00:13:40.680]   like accumulated from a whole stripe across the back of the car,
[00:13:40.680 --> 00:13:43.680]   because it kind of shifted while you were taking the picture,
[00:13:43.680 --> 00:13:46.480]   while you were accumulating incoming photons
[00:13:46.480 --> 00:13:49.440]   to form the image.
[00:13:49.440 --> 00:13:51.800]   So typically, you see here, you get something
[00:13:51.800 --> 00:13:52.960]   that's very hard to use.
[00:13:52.960 --> 00:13:57.480]   So there are possibilities.
[00:13:57.480 --> 00:13:59.880]   If you know the motion of the vehicle here,
[00:13:59.880 --> 00:14:02.040]   you know that it moved, for example,
[00:14:02.040 --> 00:14:06.320]   that you can approximate this as a simple shift by whatever.
[00:14:06.320 --> 00:14:07.840]   For example, you would have measured this,
[00:14:07.840 --> 00:14:10.800]   and it's like 30 pixel shift during the exposure,
[00:14:10.800 --> 00:14:13.160]   and it's kind of linear motion, so it's kind of shifting
[00:14:13.160 --> 00:14:14.560]   continuously.
[00:14:14.560 --> 00:14:19.440]   You can model that, and we'll see that in the coming weeks.
[00:14:19.440 --> 00:14:22.760]   You can model that, and then you can invert that process.
[00:14:22.760 --> 00:14:25.440]   But as you can see here, it becomes very noisy.
[00:14:25.440 --> 00:14:28.800]   That looked like a better quality image, but it's blurred.
[00:14:28.800 --> 00:14:31.120]   But in terms of the actual values you get,
[00:14:31.120 --> 00:14:33.000]   it's a nice move, et cetera.
[00:14:33.000 --> 00:14:39.440]   Once you do this inversion, you get a very noisy picture.
[00:14:39.440 --> 00:14:41.960]   But it's sharp now, or kind of sharp.
[00:14:41.960 --> 00:14:43.960]   You can actually read the license plate here.
[00:14:43.960 --> 00:14:49.280]   So we'll see that it's actually really challenges
[00:14:49.280 --> 00:14:52.520]   in the inversion that you lose precision,
[00:14:52.520 --> 00:14:56.880]   because we actually have to take compute small values
[00:14:56.880 --> 00:15:00.000]   and then boost them again, because this effect would
[00:15:00.000 --> 00:15:01.960]   actually have reduced what we can see.
[00:15:01.960 --> 00:15:04.160]   And then in version, we boost things
[00:15:04.160 --> 00:15:06.880]   that almost had disappeared.
[00:15:06.880 --> 00:15:09.040]   But that means that they are now much more noisy,
[00:15:09.040 --> 00:15:15.040]   because the noise kind of plays a big role there.
[00:15:15.040 --> 00:15:18.680]   Here's actually a nice-- just as an example,
[00:15:18.680 --> 00:15:23.720]   a nice paper from 15 years ago.
[00:15:23.720 --> 00:15:27.520]   Or so that was attacking this problem,
[00:15:27.520 --> 00:15:29.560]   trying to change the camera.
[00:15:29.560 --> 00:15:31.720]   Not do a posteriori algorithmically
[00:15:31.720 --> 00:15:37.000]   change the-- do some fancy image processing
[00:15:37.000 --> 00:15:40.200]   to get rid of the motion blur.
[00:15:40.200 --> 00:15:43.640]   But what they did was actually try
[00:15:43.640 --> 00:15:49.840]   to do something smart at the level of the physics before--
[00:15:49.840 --> 00:15:56.000]   like on the incoming light that was going to the sensor.
[00:15:56.000 --> 00:15:57.960]   So here they say the two classical ways
[00:15:57.960 --> 00:16:02.840]   to try to take a good picture here of a moving object,
[00:16:02.840 --> 00:16:05.520]   like in this case, a little toy train.
[00:16:05.520 --> 00:16:07.560]   So this was taken in the lab.
[00:16:07.560 --> 00:16:10.280]   Either you take a very short exposure
[00:16:10.280 --> 00:16:13.440]   to get a sharp image, but then of course, it's actually--
[00:16:13.440 --> 00:16:14.560]   there's almost no light.
[00:16:14.560 --> 00:16:15.640]   So it's pretty dark.
[00:16:15.640 --> 00:16:18.200]   And then you try to boost by raising--
[00:16:18.200 --> 00:16:20.920]   by taking every value you find here
[00:16:20.920 --> 00:16:24.640]   and multiply it by 100 or whatever it is to get a proper
[00:16:24.640 --> 00:16:27.400]   image, and you get something like this here.
[00:16:27.400 --> 00:16:30.040]   Pretty bad.
[00:16:30.040 --> 00:16:32.160]   Or you say, OK, I need more time.
[00:16:32.160 --> 00:16:35.120]   I need to accumulate more light, more information.
[00:16:35.120 --> 00:16:37.600]   And I will do essentially this here.
[00:16:37.600 --> 00:16:41.560]   So you see up there the exposure.
[00:16:41.560 --> 00:16:45.720]   This little blip there means that the camera, at that point
[00:16:45.720 --> 00:16:48.240]   in time, switches on, starts accumulating light.
[00:16:48.240 --> 00:16:50.440]   And then very quickly after, it switches off.
[00:16:50.440 --> 00:16:52.400]   And it doesn't take light anymore.
[00:16:52.400 --> 00:16:54.640]   While this one would actually switch on,
[00:16:54.640 --> 00:16:57.480]   so you open the--
[00:16:57.480 --> 00:16:59.920]   let's say you had a plate in front of the lens.
[00:16:59.920 --> 00:17:02.120]   In the first one, you take it away and immediately cover it
[00:17:02.120 --> 00:17:02.600]   again.
[00:17:02.600 --> 00:17:04.880]   In the other one, you let the light come in.
[00:17:04.880 --> 00:17:06.360]   The train is kind of moving.
[00:17:06.360 --> 00:17:08.360]   You wait a bit, then you close again.
[00:17:08.360 --> 00:17:11.800]   So that's this long exposure time.
[00:17:11.800 --> 00:17:16.880]   You get this nice amount of light, clear colors, et cetera,
[00:17:16.880 --> 00:17:18.920]   not much noise.
[00:17:18.920 --> 00:17:22.320]   But if you then need to do all the processing to remove,
[00:17:22.320 --> 00:17:23.360]   you can see two things.
[00:17:23.360 --> 00:17:25.160]   One, it's a very noisy image.
[00:17:25.160 --> 00:17:28.480]   Two, there's this kind of funny artifacts showing up here.
[00:17:28.480 --> 00:17:33.560]   There's some kind of frequency, pattern of a certain frequency
[00:17:33.560 --> 00:17:35.400]   that seems to have encountered a problem
[00:17:35.400 --> 00:17:38.200]   and that we somehow have lost or has disappeared or something.
[00:17:38.200 --> 00:17:45.080]   What they did was based on some of the concepts
[00:17:45.080 --> 00:17:48.160]   that we will see through this lecture,
[00:17:48.160 --> 00:17:50.600]   they figured out that actually we could do better
[00:17:50.600 --> 00:17:55.960]   if instead of just opening, waiting, and closing,
[00:17:55.960 --> 00:17:57.840]   we kind of accumulate the same amount of light.
[00:17:57.840 --> 00:18:00.240]   But what we do is we'll actually be opening and closing
[00:18:00.240 --> 00:18:04.320]   a number of times very fast at a certain irregular rhythm
[00:18:04.320 --> 00:18:05.400]   somehow.
[00:18:05.400 --> 00:18:08.240]   So open, close, but changing the amount of time
[00:18:08.240 --> 00:18:11.560]   they keep it open and closed and so on.
[00:18:11.560 --> 00:18:15.280]   And so they instrumented the camera to do that.
[00:18:15.280 --> 00:18:17.000]   And then what they obtained is this here.
[00:18:17.000 --> 00:18:19.640]   So you see they call it the flutter-chutter.
[00:18:19.640 --> 00:18:21.160]   Instead of having it open all the time,
[00:18:21.160 --> 00:18:23.880]   they actually are only one time very briefly,
[00:18:23.880 --> 00:18:26.200]   they do something in between which is kind of open, close,
[00:18:26.200 --> 00:18:26.720]   open, close.
[00:18:26.720 --> 00:18:28.240]   That's kind of random durations, roughly.
[00:18:28.240 --> 00:18:31.400]   Not really random, but you could kind of do it random
[00:18:31.400 --> 00:18:32.720]   and it probably work.
[00:18:32.720 --> 00:18:37.200]   Similarly, so something chosen in a certain way
[00:18:37.200 --> 00:18:39.480]   so that you don't get this loss here anymore
[00:18:39.480 --> 00:18:43.720]   at a particular given pattern, that you
[00:18:43.720 --> 00:18:48.640]   get the quality of the much better noise reconstruction,
[00:18:48.640 --> 00:18:50.560]   actually all the frequencies--
[00:18:50.560 --> 00:18:52.600]   and we'll see what that means--
[00:18:52.600 --> 00:18:54.960]   are recovered here, including the one that
[00:18:54.960 --> 00:18:57.760]   had fully disappeared here.
[00:18:57.760 --> 00:19:00.000]   And so you get a much better image or so.
[00:19:00.000 --> 00:19:01.680]   So there's also-- just to tell you
[00:19:01.680 --> 00:19:03.200]   that there's actually many situations where
[00:19:03.200 --> 00:19:05.040]   to really get an improvement, you
[00:19:05.040 --> 00:19:07.520]   need to do it before you are in a digital form
[00:19:07.520 --> 00:19:10.400]   where you intrinsically already have some limitations baked
[00:19:10.400 --> 00:19:11.640]   in your data.
[00:19:12.640 --> 00:19:13.140]   OK.
[00:19:13.140 --> 00:19:23.600]   OK, this is just for the exercises as a bit of a preview.
[00:19:23.600 --> 00:19:27.240]   So the exercises will be in Python this year
[00:19:27.240 --> 00:19:29.240]   or have been for a few years.
[00:19:29.240 --> 00:19:31.320]   They used to be in MATLAB before.
[00:19:31.320 --> 00:19:34.600]   Before that, I'm not going to do that here,
[00:19:34.600 --> 00:19:39.040]   but I actually encourage you before the first exercise
[00:19:39.040 --> 00:19:39.520]   session.
[00:19:39.520 --> 00:19:41.840]   So this week, there are no exercises.
[00:19:41.840 --> 00:19:46.280]   Just go through the slides when you get access to them
[00:19:46.280 --> 00:19:48.000]   and just play a bit around, set this up,
[00:19:48.000 --> 00:19:52.640]   kind of loading an image, show it, et cetera.
[00:19:52.640 --> 00:19:59.400]   So you can show the image, you can let it kind of display.
[00:19:59.400 --> 00:20:01.960]   Then also look at just printing the image
[00:20:01.960 --> 00:20:05.080]   or a fraction of the image, like a sub-image or so.
[00:20:05.080 --> 00:20:06.600]   And just look at the numbers.
[00:20:06.600 --> 00:20:09.400]   Just play a bit around with a digital image.
[00:20:09.400 --> 00:20:16.360]   OK, so again, let's get back to what is an image.
[00:20:16.360 --> 00:20:21.400]   An image in general, not yet a digital image.
