
[00:00:00.000 --> 00:00:03.440]   Okay, so good afternoon.
[00:05:56.520 --> 00:06:02.040]   In the spatial domain, that results in an actually kind of very slowly dying out
[00:06:02.040 --> 00:06:05.040]   function in the frequency domain.
[00:06:05.040 --> 00:06:10.680]   So essentially, if we are very compact here, as a rule of thumb,
[00:06:10.680 --> 00:06:14.720]   if we're very compact here, then we'll kind of very slowly die out there,
[00:06:14.720 --> 00:06:16.080]   and vice versa.
[00:06:16.080 --> 00:06:20.680]   And so in that case, the best trade-off, and we'll look at this when we do
[00:06:20.680 --> 00:06:24.720]   reconstructions, for example, image reconstructions, after sampling and
[00:06:24.720 --> 00:06:28.920]   representing discretely, and then going back to the continuous domain,
[00:06:28.920 --> 00:06:35.720]   this function is kind of useful because it both is reasonably compact.
[00:06:35.720 --> 00:06:39.760]   It goes to zero quite fast with the double exponential.
[00:06:39.760 --> 00:06:44.080]   It's compact in the spatial domain, but it's also compact in the frequency domain.
[00:06:44.080 --> 00:06:46.800]   It's kind of the best trade-off of being compact in both.
[00:06:46.800 --> 00:06:50.280]   Here's a few more.
[00:06:50.280 --> 00:06:54.760]   We started also at the end of last lecture.
[00:06:54.760 --> 00:06:59.800]   Essentially, if we have just a sine function, we'll get essentially,
[00:06:59.800 --> 00:07:06.320]   in the frequency domain, just peaks at both positive and negative
[00:07:06.320 --> 00:07:10.440]   values in the frequency domain.
[00:07:10.440 --> 00:07:15.400]   So really only that frequency is then known zero, the frequency of that sine wave.
[00:07:20.520 --> 00:07:26.160]   We briefly discussed the delta function.
[00:07:26.160 --> 00:07:31.480]   So we'll discuss that more in detail a bit later, but essentially it's a function
[00:07:31.480 --> 00:07:34.760]   that's zero everywhere except at one point.
[00:07:34.760 --> 00:07:41.240]   And to essentially get such a function, and then at that point we'll somehow choose
[00:07:41.240 --> 00:07:45.520]   a value which essentially will be infinity, but chosen such that at least the
[00:07:45.520 --> 00:07:47.280]   integral is well defined.
[00:07:47.280 --> 00:07:49.040]   So we'll discuss that more in detail.
[00:07:50.120 --> 00:07:54.440]   A bit later, but the interesting part of that is it's infinitely compact
[00:07:54.440 --> 00:07:56.280]   in the spatial domain.
[00:07:56.280 --> 00:07:59.560]   And based on what I told you, if we make it very compact in a spatial domain,
[00:07:59.560 --> 00:08:04.960]   that means we kind of expect it to really be spread out in the frequency domain.
[00:08:04.960 --> 00:08:08.200]   And indeed, in the frequency domain, essentially all of the frequencies are
[00:08:08.200 --> 00:08:13.800]   needed, you have essentially a constant in the frequency domain for that.
[00:08:13.800 --> 00:08:15.800]   So all frequencies are actually needed there.
[00:08:17.960 --> 00:08:21.880]   And then the interesting thing is a combination of these delta functions.
[00:08:21.880 --> 00:08:29.120]   So essentially, delta functions repeated at a regular repetition of these delta
[00:08:29.120 --> 00:08:35.800]   functions, both essentially infinite repetition of those delta functions.
[00:08:35.800 --> 00:08:42.160]   The Fourier transform of that is actually the same function.
[00:08:42.160 --> 00:08:50.480]   But it's also an infinite repetition of this delta function in the Fourier domain.
[00:08:50.480 --> 00:08:56.520]   But of course, again, if it's spaced by distance t here,
[00:08:56.520 --> 00:09:00.680]   it's going to be spaced by the instance 1 over t in the frequency domain.
[00:09:00.680 --> 00:09:03.680]   We have frequencies expressed in hertz, for example.
[00:09:03.680 --> 00:09:08.560]   So now we're particularly talking in a single dimension.
[00:09:08.560 --> 00:09:10.240]   These are examples in a single dimension.
[00:09:12.000 --> 00:09:15.320]   So hertz, that cycles per second.
[00:09:15.320 --> 00:09:18.120]   So you have seconds on one side, cycles per second on the other side.
[00:09:18.120 --> 00:09:23.440]   In the image domain, let's say you have centimeters,
[00:09:23.440 --> 00:09:26.280]   then it's 1 over centimeter as a frequency.
[00:09:26.280 --> 00:09:29.440]   So how many periods do you have per centimeter, per unit of length?
[00:09:29.440 --> 00:09:33.280]   And so of course, inversely proportional, so
[00:09:33.280 --> 00:09:38.040]   you move these closer together here, then they would move further apart over there.
[00:09:38.040 --> 00:09:38.600]   And vice versa.
[00:09:38.600 --> 00:09:41.320]   This will be very, very important.
[00:09:41.320 --> 00:09:46.200]   This is how we'll mathematically model sampling.
[00:09:46.200 --> 00:09:50.080]   This function will exactly be able to measure things at exact locations,
[00:09:50.080 --> 00:09:53.520]   and not at all be influenced by things that are not at that location.
[00:09:53.520 --> 00:10:01.160]   We just saw this on the slide before, this one also, the Gaussian.
[00:10:01.160 --> 00:10:06.360]   And then what's interesting is actually the reverse of this one is that if you
[00:10:06.360 --> 00:10:11.720]   have essentially something that's flat, so constant frequency response
[00:10:11.720 --> 00:10:16.440]   for a certain extent, and then goes exactly to zero, so it's as compact as
[00:10:16.440 --> 00:10:22.400]   possible in the frequency domain, which we'll see is actually very useful for
[00:10:22.400 --> 00:10:23.120]   reconstruction.
[00:10:23.120 --> 00:10:29.120]   We see that sadly enough, this gives us a really large extent and
[00:10:29.120 --> 00:10:35.440]   slowly reducing function in the spatial domain.
[00:10:35.440 --> 00:10:40.400]   So that means that if we want to implement this reconstruction filter
[00:10:40.400 --> 00:10:44.720]   in the spatial domain, we'll need a very large convolution.
[00:10:44.720 --> 00:10:49.200]   A convolution with a very large filter to approximate this one.
[00:10:49.200 --> 00:10:51.840]   We'll get to that more in detail.
[00:10:51.840 --> 00:10:57.200]   Okay, so this is the last slide we saw last time.
[00:10:57.200 --> 00:11:00.800]   So this is really an important slide.
[00:11:02.680 --> 00:11:05.040]   It will essentially allow us to understand and model.
[00:11:05.040 --> 00:11:10.200]   It's the base of understanding and modeling two really important effects here.
[00:11:10.200 --> 00:11:16.920]   So the convolution theorem can be used in both directions here.
[00:11:16.920 --> 00:11:22.200]   So the first one is that the Fourier transform of the convolution of two
[00:11:22.200 --> 00:11:24.960]   functions is a product of the Fourier transforms.
[00:11:24.960 --> 00:11:32.360]   So you've seen that you can model filtering operations.
[00:11:32.880 --> 00:11:38.840]   As convolutions of let's say the image with kernels that represent the filter
[00:11:38.840 --> 00:11:41.600]   operation, like a blurring filter or other things.
[00:11:41.600 --> 00:11:48.400]   So that's the operation of convolving an image with a filter, for example.
[00:11:48.400 --> 00:11:52.600]   And you've seen these linear filters, then it's actually just a chain of those,
[00:11:52.600 --> 00:11:54.280]   and so on.
[00:11:54.280 --> 00:11:59.760]   Okay, now if we go, so here of course, the operations,
[00:11:59.760 --> 00:12:01.960]   the convolution operations are in a sense non-local.
[00:12:02.680 --> 00:12:06.200]   Right, a particular pixel doesn't only, in the output image,
[00:12:06.200 --> 00:12:08.920]   doesn't only depend on a single pixel in the input image,
[00:12:08.920 --> 00:12:12.120]   it depends on a whole bunch of pixels, and if you have a very large kernel,
[00:12:12.120 --> 00:12:14.760]   it's actually really many pixels, potentially the whole image.
[00:12:14.760 --> 00:12:18.760]   So you have to recombine pixels from the whole image, take all of them into account
[00:12:18.760 --> 00:12:22.920]   to determine how one pixel looks in the output image after convolution.
[00:12:22.920 --> 00:12:27.640]   What's nice is that in the frequency domain,
[00:12:27.640 --> 00:12:31.480]   whether we see, we have a component per component multiplication.
[00:12:32.040 --> 00:12:39.240]   Okay, so in other words, the effect of a filter is very, very simple
[00:12:39.240 --> 00:12:44.920]   in the frequency domain to represent and to understand in a frequency domain.
[00:12:44.920 --> 00:12:47.000]   It's really just frequency per frequency.
[00:12:47.000 --> 00:12:49.880]   The only question you have to ask is for this frequency, what does my filter do?
[00:12:49.880 --> 00:12:55.720]   Oh, it multiplies it by scaler, essentially, it multiplies it by one, for example.
[00:12:55.720 --> 00:12:57.800]   So it keeps exactly that frequency untouched.
[00:12:58.440 --> 00:13:02.360]   Or this other frequency, oh, that frequency goes by 0.5, you know,
[00:13:02.360 --> 00:13:06.440]   so it gets reduced, everything that's present at that frequency band
[00:13:06.440 --> 00:13:11.080]   will get reduced by, you know, a factor of 0.5, for example.
[00:13:11.080 --> 00:13:13.960]   And then other parts might just go to zero.
[00:13:13.960 --> 00:13:16.520]   So the filter might completely kill some frequencies, okay?
[00:13:16.520 --> 00:13:18.200]   So then those are going to zero.
[00:13:18.200 --> 00:13:21.240]   It means that those frequency, whatever you had in the image,
[00:13:21.240 --> 00:13:25.480]   if you do the Fourier transform, so you get, for example, gay,
[00:13:26.520 --> 00:13:30.280]   if you, if the filter would kill off those frequencies,
[00:13:30.280 --> 00:13:32.760]   then you take that component and multiply it by zero, okay?
[00:13:32.760 --> 00:13:35.080]   So it's really a frequency per frequency.
[00:13:35.080 --> 00:13:41.000]   So filtering in the spatial domain is something that involves, you know,
[00:13:41.000 --> 00:13:42.920]   impact on lots of pixels taking potential,
[00:13:42.920 --> 00:13:45.320]   all the pixels of the image into account to compute every single,
[00:13:45.320 --> 00:13:46.680]   the output on every single pixel.
[00:13:46.680 --> 00:13:50.760]   In the frequency domain, it's really separated frequency per frequency.
[00:13:50.760 --> 00:13:52.360]   You don't have to look at other frequencies.
[00:13:52.360 --> 00:13:54.440]   You only have to look at a single frequency at a time,
[00:13:54.440 --> 00:13:57.160]   and you get essentially a scalar of how much does, you know,
[00:13:57.160 --> 00:14:00.920]   how does this frequency get affected by this, right?
[00:14:00.920 --> 00:14:06.680]   Remember, it's a little bit like in, you know,
[00:14:06.680 --> 00:14:09.080]   on some music things where you're an equalizer
[00:14:09.080 --> 00:14:11.480]   and you can shift frequencies up and down and do stuff like that.
[00:14:11.480 --> 00:14:13.000]   That's really what we're talking about here.
[00:14:13.000 --> 00:14:15.000]   It's, that's what filters do, okay?
[00:14:15.000 --> 00:14:21.400]   The, and then the other side, the other direction,
[00:14:21.400 --> 00:14:24.840]   this is what will allow us to express a sampling,
[00:14:24.840 --> 00:14:29.400]   to model mathematically accurately what sampling is doing, okay?
[00:14:29.400 --> 00:14:31.960]   And again, like in a sense, the sampling, as I said,
[00:14:31.960 --> 00:14:33.960]   it will use essentially this representation,
[00:14:33.960 --> 00:14:39.400]   this, these kind of measuring at discrete locations here, okay?
[00:14:39.400 --> 00:14:45.880]   So we'll model that as a product of this, you know,
[00:14:45.880 --> 00:14:50.040]   function that expresses that is non-zero only at the final set,
[00:14:50.840 --> 00:14:53.320]   no, not final, infinite set of discrete locations,
[00:14:53.320 --> 00:14:57.960]   and we'll multiply that with the original function, okay?
[00:14:57.960 --> 00:15:00.600]   So that's how we'll model sampling is we'll say, okay,
[00:15:00.600 --> 00:15:03.400]   we only care about, you know, the point measurements
[00:15:03.400 --> 00:15:05.000]   at this discrete set of locations,
[00:15:05.000 --> 00:15:06.840]   and we have a function for that,
[00:15:06.840 --> 00:15:09.800]   a function that's zero everywhere except in those discrete locations,
[00:15:09.800 --> 00:15:12.120]   and we'll just multiply that function.
[00:15:12.120 --> 00:15:17.400]   That function will multiply with the original function, okay?
[00:15:17.400 --> 00:15:22.120]   And now we get a new function where we have these special functions
[00:15:22.120 --> 00:15:25.320]   rescaled essentially based on,
[00:15:25.320 --> 00:15:32.760]   rescaled based on the function we're interested in, okay?
[00:15:32.760 --> 00:15:33.960]   Initially they were all the same scale,
[00:15:33.960 --> 00:15:36.360]   and then after we multiply by j,
[00:15:36.360 --> 00:15:39.160]   it will essentially rescale that delta function
[00:15:39.160 --> 00:15:44.200]   so that the integral now corresponds to the function value
[00:15:44.200 --> 00:15:45.880]   at that exact location, okay?
[00:15:47.000 --> 00:15:49.000]   So here in this case it's just a product,
[00:15:49.000 --> 00:15:54.520]   but in the frequency domain it's a convolution now.
[00:15:54.520 --> 00:15:57.640]   So we get a convolution of the original function
[00:15:57.640 --> 00:16:03.800]   with the function, with the Fourier transform of this function,
[00:16:03.800 --> 00:16:05.240]   of our sampling function.
[00:16:05.240 --> 00:16:09.560]   Now we saw before this actually also a very simple function, okay?
[00:16:09.560 --> 00:16:11.720]   So we get these peaks that will be convolved
[00:16:11.720 --> 00:16:14.440]   with the original spectrum of our function, okay?
[00:16:15.720 --> 00:16:18.840]   We'll explain this in a lot more detail in the next few slides, okay?
[00:16:18.840 --> 00:16:23.480]   But essentially here we have something that explains us,
[00:16:23.480 --> 00:16:25.960]   that will show us what happens in the frequency domain
[00:16:25.960 --> 00:16:29.960]   given our modeling or functions.
[00:16:29.960 --> 00:16:32.040]   So we have a way to model in the spatial domain
[00:16:32.040 --> 00:16:33.080]   the sampling process.
[00:16:33.080 --> 00:16:37.560]   In particular we have a way to go from a continuous function
[00:16:37.560 --> 00:16:40.200]   in a mathematically accurate way,
[00:16:40.200 --> 00:16:42.760]   go from a continuous representation, a continuous function,
[00:16:43.320 --> 00:16:47.320]   to now something that only has measurements at discrete locations, okay?
[00:16:47.320 --> 00:16:48.840]   That's the key part here.
[00:16:48.840 --> 00:16:51.320]   And then we say, okay, if we model things this way,
[00:16:51.320 --> 00:16:53.000]   and this is a correct way to model it,
[00:16:53.000 --> 00:16:56.120]   then we can immediately understand what happens
[00:16:56.120 --> 00:16:59.000]   in the frequency domain thanks to this theorem here, okay?
[00:16:59.000 --> 00:17:00.440]   And we'll see and then we'll understand,
[00:17:00.440 --> 00:17:02.520]   that's where essentially when a few slides
[00:17:02.520 --> 00:17:05.000]   we'll understand how aliasing comes about
[00:17:05.000 --> 00:17:07.880]   and what we can do about it and really understand that phenomenon.
[00:17:07.880 --> 00:17:09.500]   Okay.
[00:17:10.600 --> 00:17:13.960]   So to go from the continuous world to the discrete world,
[00:17:13.960 --> 00:17:17.720]   so from function to vector in one dimension,
[00:17:17.720 --> 00:17:22.440]   or we'll see also in two dimension in examples in a second,
[00:17:22.440 --> 00:17:26.760]   we take those samples typically on a regular grid,
[00:17:26.760 --> 00:17:30.200]   so we just measure the function at discrete locations,
[00:17:30.200 --> 00:17:33.320]   as we said before, and get something like this, okay?
[00:17:33.320 --> 00:17:35.400]   In 2D we get something like this, right?
[00:17:35.400 --> 00:17:38.840]   2D function and we then get discrete samples.
[00:17:39.000 --> 00:17:45.400]   So we start from a continuous function,
[00:17:45.400 --> 00:17:54.360]   and we'd like to be able to essentially approximate these integrals
[00:17:54.360 --> 00:18:02.040]   in a sensible way because for the Fourier transform and so on,
[00:18:02.040 --> 00:18:03.960]   we'll need to be able to do integrals and so on.
[00:18:05.880 --> 00:18:08.840]   So this will lead us to the delta function.
[00:18:08.840 --> 00:18:12.840]   So that's essentially a function like this,
[00:18:12.840 --> 00:18:18.360]   and so the sampling function will just be a repetition of these delta functions
[00:18:18.360 --> 00:18:28.920]   that are shifted to a particular location and then essentially our xy, our original function.
[00:18:32.760 --> 00:18:37.400]   And because these shifted delta functions,
[00:18:37.400 --> 00:18:41.640]   so this is essentially the representation of I have my function,
[00:18:41.640 --> 00:18:45.000]   I shift my delta function, so my function at center of zero,
[00:18:45.000 --> 00:18:48.440]   I shift it to a particular location and that's the place where I measure.
[00:18:48.440 --> 00:18:51.320]   That's the discrete integer location, that's this function,
[00:18:51.320 --> 00:18:56.520]   and then that function that's now the shifted peak function
[00:18:56.520 --> 00:19:02.440]   will multiply it at that location, will multiply it with the function,
[00:19:03.000 --> 00:19:05.320]   so we essentially just read out this value here,
[00:19:05.320 --> 00:19:13.560]   and then we'll sum that up over all locations, from minus infinity to plus infinity,
[00:19:13.560 --> 00:19:18.120]   because this function is always the same one, it's always f of xy,
[00:19:18.120 --> 00:19:23.480]   this is the one that varies over the summation, this function we can move out,
[00:19:23.480 --> 00:19:26.840]   and we really have now these two functions, the original function,
[00:19:26.840 --> 00:19:29.640]   and then here this repetition of all these peaks.
[00:19:31.640 --> 00:19:35.480]   But if we want to be able to do a proper Fourier transform,
[00:19:35.480 --> 00:19:38.520]   we'll need those peaks to be able to go properly for an integral,
[00:19:38.520 --> 00:19:45.640]   that's what's written up there, because our Fourier transform is expressed as a double integral,
[00:19:45.640 --> 00:19:49.560]   so we need to have a function that we can properly, that will integrate properly.
[00:19:49.560 --> 00:19:54.600]   If you just have something that's a finite, that's zero everywhere,
[00:19:54.600 --> 00:20:00.520]   and then a finite, let's say, one value at a location, at the sampling location,
[00:20:00.520 --> 00:20:05.240]   then we have a problem, because that's a function with zero surface,
[00:20:05.240 --> 00:20:07.320]   so it will integrate to zero, essentially.
[00:20:07.320 --> 00:20:12.520]   So the simple function at zero everywhere, and then one at the particular location of interest,
[00:20:12.520 --> 00:20:15.800]   that function is not going to work, because it integrates to zero.
[00:20:15.800 --> 00:20:20.680]   So that's why we'll define something as a limit,
[00:20:20.680 --> 00:20:24.840]   so the key thing we want is that our integral is one,
[00:20:26.600 --> 00:20:31.800]   but it also needs to be infinitely thin, but we'll take it as a limit of essentially a function
[00:20:31.800 --> 00:20:36.920]   like this here, that's at a particular height, and then the width is essentially,
[00:20:36.920 --> 00:20:44.360]   from its start, minus one over two h, and it goes to one over two h, so the width is actually
[00:20:44.360 --> 00:20:49.560]   one over h, and the height is h, and therefore the integral is just one.
[00:20:51.160 --> 00:20:56.920]   And of course we can change h to make h higher and then the width smaller,
[00:20:56.920 --> 00:21:02.680]   and if essentially we go in the limit so that this has no extent anymore,
[00:21:02.680 --> 00:21:06.440]   so that it's really zero everywhere except at a particular given location,
[00:21:06.440 --> 00:21:15.240]   for the delta function except at zero, then essentially we have a function that now,
[00:21:15.240 --> 00:21:20.760]   in the limit also has an integral of one, but that has an infinitely small extent.
[00:21:21.640 --> 00:21:27.160]   Width, therefore it's also infinitely high, but it's infinitely high in a controlled fashion,
[00:21:27.160 --> 00:21:31.400]   it's infinitely high in a sense that when you do the integral it will give you exactly one,
[00:21:31.400 --> 00:21:36.360]   because that's the limit here of this function, h times one over h.
[00:21:36.360 --> 00:21:41.560]   Okay, does that make sense to everyone?
[00:21:41.560 --> 00:21:44.680]   Any questions?
[00:21:46.440 --> 00:21:50.760]   Okay, so this is kind of important, at least at a conceptual level, right?
[00:21:50.760 --> 00:21:54.120]   So you need to understand that, you're not going to have to derive that particularly.
[00:21:54.120 --> 00:22:02.920]   Okay, so we get back to this model, right? Now it's actually something we can do an integral from,
[00:22:02.920 --> 00:22:10.040]   so we can actually do the Fourier transform of this thing. In particular we can do the Fourier
[00:22:10.040 --> 00:22:17.240]   transform of this thing, which is the combination of the product, it speaks at all the locations of
[00:22:17.240 --> 00:22:22.440]   interest, all the sampling locations, and then multiplied with the function. So with a product
[00:22:22.440 --> 00:22:27.960]   of two functions of which we want to take the Fourier transform, we now apply our convolution
[00:22:27.960 --> 00:22:33.400]   theorem, which separates the function here, that's just the Fourier transform of that function,
[00:22:33.400 --> 00:22:39.480]   that's easy, and then the Fourier transform of this thing here. Okay, and because we've defined
[00:22:39.480 --> 00:22:43.480]   the delta function to be something we can actually integrate over properly and so on,
[00:22:43.480 --> 00:22:50.680]   this will actually work, and I will spare you the derivation, but essentially, as we've seen before,
[00:22:50.680 --> 00:22:58.520]   here, where was it, here, that if you actually do all the math you will essentially figure out
[00:22:58.520 --> 00:23:04.280]   that this is the output of it, right? We're not deriving that here, but this is something that
[00:23:04.280 --> 00:23:10.760]   you can assume, that if you do the math properly and we know, we just checked that it was something
[00:23:10.760 --> 00:23:17.000]   we would be able to actually pass through the integral, which was this integral here, right?
[00:23:17.000 --> 00:23:19.880]   That this would actually yield a meaningful result and not zeros.
[00:23:22.600 --> 00:23:27.880]   Then we get that function over there, t, one over t, and so,
[00:23:27.880 --> 00:23:40.440]   okay, so, sorry, one more, okay, so this will make sense, and so essentially,
[00:23:40.440 --> 00:23:47.800]   as we take this Fourier transform, the Fourier transform of this was also this peak,
[00:23:48.680 --> 00:23:54.840]   and then if you convolve a peak, remember what did I tell you? The convolution
[00:23:54.840 --> 00:24:01.080]   is essentially, you know, actually, does anybody remember what did I say the convolution was?
[00:24:01.080 --> 00:24:06.440]   We had these two things, convolution and correlation. Does anybody remember what?
[00:24:06.440 --> 00:24:13.000]   No, I meant like, before we discussed free space,
[00:24:15.160 --> 00:24:20.360]   there were essentially two effects. There's correlation is one thing and convolution was the other thing.
[00:24:20.360 --> 00:24:33.720]   Exactly, so I called it a point spread function, but essentially, it's exactly as you said,
[00:24:33.720 --> 00:24:39.000]   is that you have a value in one location and you kind of distribute it. The kernel describes
[00:24:39.000 --> 00:24:43.960]   how you take that value and how you distribute it, how you spread it out over the neighboring pixels,
[00:24:43.960 --> 00:24:46.840]   right? If you remember that, that was the concept there.
[00:24:46.840 --> 00:24:54.280]   This is essentially a concept from one pixel in the input image. You spread it to many pixels in
[00:24:54.280 --> 00:24:59.240]   the output image, which is not the way that computers typically are being used. Typically,
[00:24:59.240 --> 00:25:05.560]   you use, it's not the other way around, you say, okay, I want to write the output for this function,
[00:25:05.560 --> 00:25:11.720]   I want to compute the output value for this function, how do I compute it? Then we ended up
[00:25:11.720 --> 00:25:16.440]   reversing the kernel and essentially picking all the right pixels and so on to do that. But
[00:25:16.440 --> 00:25:21.240]   conceptually, and that's what I want you to remember, so it seems a lot of you have not
[00:25:21.240 --> 00:25:27.160]   remembered it, so you have time. The exam is not now, but do remember it by the time you get to
[00:25:27.160 --> 00:25:33.240]   the exam. It's this kind of spread, from a central pixel kind of deciding how you spread things out.
[00:25:33.240 --> 00:25:39.800]   That's a convolution. Again, as we said, in convolutional neural nets and other things,
[00:25:39.800 --> 00:25:45.320]   they actually mean correlations, so it's all a bit confusing. But the key is to really remember
[00:25:45.320 --> 00:25:51.320]   those two concepts. Here, for example, you can now, if you remember that, that is, I have a
[00:25:51.320 --> 00:25:56.920]   central pixel and I decide how that pixel gets distributed to the rest. Well, we have actually
[00:25:56.920 --> 00:26:03.160]   this very nice centralized function, which is a peak, this infinite peak. And so if you do the
[00:26:03.160 --> 00:26:08.520]   convolution of that peak, we're not doing convolution in the continuous domain, right? So we
