
[00:00:00.000 --> 00:00:02.000]   Okay, good morning.
[00:08:25.000 --> 00:08:28.000]   you guys have something interesting to tell?
[00:08:28.000 --> 00:08:30.000]   No? Okay.
[00:08:30.000 --> 00:08:32.000]   Then you can wait for outside lecture today.
[00:08:32.000 --> 00:08:34.000]   Okay, so digital processing,
[00:08:34.000 --> 00:08:40.000]   so we start from a high frequency, from an unlimited, not band limited signal,
[00:08:40.000 --> 00:08:43.000]   before we sample it,
[00:08:43.000 --> 00:08:46.000]   when we know that we're going to sample at a certain rate,
[00:08:46.000 --> 00:08:49.000]   from this construction or from,
[00:08:49.000 --> 00:08:53.000]   maybe in the Nyquist sampling theorem,
[00:08:53.000 --> 00:08:56.000]   we know that at this sampling rate,
[00:08:56.000 --> 00:08:59.000]   we can only cope with things that have about this width,
[00:08:59.000 --> 00:09:01.000]   so before we sample,
[00:09:01.000 --> 00:09:05.000]   we first have to band limit the signal to avoid aliasing,
[00:09:05.000 --> 00:09:08.000]   so we'll first take the signal, we'll band limit it,
[00:09:08.000 --> 00:09:11.000]   if we're still in the analog domain,
[00:09:11.000 --> 00:09:13.000]   so in a continuous domain,
[00:09:13.000 --> 00:09:17.000]   the way to do that is actually to apply some analog filter,
[00:09:17.000 --> 00:09:20.000]   for example with a camera you would just blur slightly,
[00:09:20.000 --> 00:09:24.000]   enough so that you suppress these high frequency spikes,
[00:09:24.000 --> 00:09:26.000]   so you get something like this,
[00:09:26.000 --> 00:09:28.000]   you are band limited,
[00:09:28.000 --> 00:09:31.000]   now as you sample, you avoid the overlap, you're good,
[00:09:31.000 --> 00:09:33.000]   and then for reconstruction,
[00:09:33.000 --> 00:09:37.000]   you essentially, for example, here have this perfect reconstruction filter,
[00:09:37.000 --> 00:09:41.000]   in practice we might have one that has a little bit more of a slope here,
[00:09:41.000 --> 00:09:46.000]   but in exchange has little less extent here in the spatial domain.
[00:09:46.000 --> 00:09:49.000]   Okay, so that's what we had last week,
[00:09:49.000 --> 00:09:52.000]   any questions still for that?
[00:09:52.000 --> 00:09:54.000]   Anyone?
[00:09:54.000 --> 00:09:58.000]   Okay, so then this week,
[00:09:58.000 --> 00:10:02.000]   we'll talk about other transformations and Fourier transform,
[00:10:02.000 --> 00:10:05.000]   Fourier transform actually one example of these unitary transforms,
[00:10:05.000 --> 00:10:08.000]   so let's look more in general,
[00:10:08.000 --> 00:10:13.000]   so we saw images can essentially are really digital images,
[00:10:13.000 --> 00:10:18.000]   are represented as a matrix typically,
[00:10:18.000 --> 00:10:22.000]   as a two dimensional arrangement of measurements,
[00:10:22.000 --> 00:10:26.000]   but of course we can also just rewrite this,
[00:10:26.000 --> 00:10:29.000]   rearrange those numbers in a single vector,
[00:10:29.000 --> 00:10:32.000]   a very long vector of course, right?
[00:10:32.000 --> 00:10:36.000]   If this is a thousand by thousand pixel image,
[00:10:36.000 --> 00:10:40.000]   let's say just a grayscale image of just one dimension,
[00:10:40.000 --> 00:10:44.000]   then here we'd have a million dimensional vector space,
[00:10:44.000 --> 00:10:48.000]   and then in that vector space,
[00:10:48.000 --> 00:10:50.000]   a point in that vector space,
[00:10:50.000 --> 00:10:54.000]   so a vector is now represents a full image,
[00:10:54.000 --> 00:10:58.000]   and it has a million dimensions in that vector space.
[00:10:58.000 --> 00:11:08.000]   Now, if we revisit briefly what are linear operators,
[00:11:08.000 --> 00:11:11.000]   so linear image processing,
[00:11:11.000 --> 00:11:15.000]   essentially any linear image processing can be written as follows,
[00:11:15.000 --> 00:11:21.000]   as here, as you have this very long vector,
[00:11:21.000 --> 00:11:23.000]   say a million dimensional,
[00:11:23.000 --> 00:11:28.000]   multiplies with million by million matrix for example,
[00:11:28.000 --> 00:11:31.000]   and gives you a vector, gay,
[00:11:31.000 --> 00:11:33.000]   that is now also million dimensional.
[00:11:33.000 --> 00:11:37.000]   This matrix doesn't necessarily have to be square,
[00:11:37.000 --> 00:11:39.000]   say it could be a million,
[00:11:39.000 --> 00:11:41.000]   if this is a vector of a million,
[00:11:41.000 --> 00:11:44.000]   then of course the width of that matrix is a million,
[00:11:44.000 --> 00:11:50.000]   but let's say if it's an operation that will filter and subsample
[00:11:50.000 --> 00:11:54.000]   to have the resolution in both directions,
[00:11:54.000 --> 00:11:57.000]   then gay could for example also be 250,000 in that case, right?
[00:11:57.000 --> 00:12:00.000]   If you start from a million, you divide by four pixels,
[00:12:00.000 --> 00:12:02.000]   the pixels you get,
[00:12:02.000 --> 00:12:06.000]   but it could be a combination of both the filtering and the subsampling,
[00:12:06.000 --> 00:12:08.000]   that's a linear operation,
[00:12:08.000 --> 00:12:11.000]   that would essentially also be written as a big matrix,
[00:12:11.000 --> 00:12:13.000]   you could write it in a big matrix,
[00:12:13.000 --> 00:12:15.000]   with of course a lot of structure,
[00:12:15.000 --> 00:12:17.000]   because it would be your convolution kernel,
[00:12:17.000 --> 00:12:19.000]   let's say with your Gaussian,
[00:12:19.000 --> 00:12:22.000]   at every, you know, split out in every location for exactly,
[00:12:22.000 --> 00:12:25.000]   for this pixel, these are the convolution,
[00:12:25.000 --> 00:12:28.000]   the pixels that get affected by the convolution, etc.
[00:12:28.000 --> 00:12:30.000]   So you get a huge matrix, huge sparse matrix,
[00:12:30.000 --> 00:12:33.000]   if you have a small kernel, only a few non-zeros, right?
[00:12:33.000 --> 00:12:36.000]   So to get to compute one output,
[00:12:36.000 --> 00:12:39.000]   you really only have the few pixels affected by the kernel,
[00:12:39.000 --> 00:12:41.000]   touched by the kernel,
[00:12:41.000 --> 00:12:43.000]   would be the ones that have a non-zero coefficient here,
[00:12:43.000 --> 00:12:46.000]   so that's an example of how this matrix could look like
[00:12:46.000 --> 00:12:50.000]   to represent that particular type of homography,
[00:12:50.000 --> 00:12:53.000]   of operator.
[00:12:53.000 --> 00:12:59.000]   So if it's a linear operator,
[00:12:59.000 --> 00:13:02.000]   it needs to satisfy here this particular constraint here,
[00:13:02.000 --> 00:13:04.000]   okay?
[00:13:04.000 --> 00:13:06.000]   So it means that your operator here,
[00:13:06.000 --> 00:13:10.000]   applied to function, to, you know, a vector f1,
[00:13:10.000 --> 00:13:13.000]   operator applied to vector f2,
[00:13:13.000 --> 00:13:17.000]   multiplied with some coefficients here,
[00:13:17.000 --> 00:13:19.000]   so you apply the operator to f1,
[00:13:19.000 --> 00:13:21.000]   you apply the operator to f2,
[00:13:21.000 --> 00:13:24.000]   you multiply them each with a coefficient alpha_1, alpha_2,
[00:13:24.000 --> 00:13:29.000]   that's for every choice of f1 and f2 in that space,
[00:13:29.000 --> 00:13:32.000]   and every choice of alpha_1 and alpha_2,
[00:13:32.000 --> 00:13:34.000]   this should be valid.
[00:13:34.000 --> 00:13:38.000]   That if you do the first linear combination,
[00:13:38.000 --> 00:13:43.000]   and then compute the output, the linear operator,
[00:13:43.000 --> 00:13:46.000]   or vice versa, you first apply the operator
[00:13:46.000 --> 00:13:48.000]   on the individual vectors,
[00:13:48.000 --> 00:13:50.000]   and then apply the linear transformation,
[00:13:50.000 --> 00:13:53.000]   that those are essentially, they commute,
[00:13:53.000 --> 00:13:57.000]   they're equal for every, for all scalars,
[00:13:57.000 --> 00:14:00.000]   and for all vectors, okay?
[00:14:00.000 --> 00:14:02.000]   So if this is the case, then that's the definition
[00:14:02.000 --> 00:14:04.000]   of a linear operator, okay?
[00:14:04.000 --> 00:14:07.000]   And so that, for example, is a linear operator, okay?
[00:14:07.000 --> 00:14:11.000]   Almost all image processing systems
[00:14:11.000 --> 00:14:13.000]   contain at least some of those linear operators.
[00:14:13.000 --> 00:14:16.000]   For example, you know, deep neural networks,
[00:14:16.000 --> 00:14:18.000]   well, they have a lot of convolutional operators,
[00:14:18.000 --> 00:14:20.000]   for example, those are linear operators,
[00:14:20.000 --> 00:14:23.000]   and then on the output of this,
[00:14:23.000 --> 00:14:25.000]   so you have this, and then they will apply
[00:14:25.000 --> 00:14:27.000]   a nonlinear function, for example.
[00:14:27.000 --> 00:14:35.000]   Okay, so this is how this linear image processing system
[00:14:35.000 --> 00:14:37.000]   looks like, it can always be written in this form.
[00:14:37.000 --> 00:14:39.000]   Now it can often be written in much more compact form,
[00:14:39.000 --> 00:14:42.000]   of course, than having this huge matrix,
[00:14:42.000 --> 00:14:45.000]   because often that huge matrix has a very structured way,
[00:14:45.000 --> 00:14:47.000]   like a convolution, same coefficients
[00:14:47.000 --> 00:14:50.000]   applied systematically throughout the image.
[00:14:50.000 --> 00:14:52.000]   So always the same coefficient showing up,
[00:14:52.000 --> 00:14:56.000]   just showing up at different locations in the rows.
[00:14:56.000 --> 00:15:00.000]   Okay, so the question is how do we choose H?
[00:15:00.000 --> 00:15:03.000]   For example, you could choose it to separate salient features
[00:15:03.000 --> 00:15:05.000]   from the rest of the image signal, okay?
[00:15:05.000 --> 00:15:08.000]   This was when we did feature detection, right?
[00:15:08.000 --> 00:15:11.000]   So we wanted to find corners, for example,
[00:15:11.000 --> 00:15:14.000]   where we would have this filter that looks like a corner,
[00:15:14.000 --> 00:15:16.000]   and we'd apply it on the whole image,
[00:15:16.000 --> 00:15:18.000]   convolve it to the whole image,
[00:15:18.000 --> 00:15:20.000]   and we'd get now a new image that, you know,
[00:15:20.000 --> 00:15:23.000]   highlights that has a strong response where
[00:15:23.000 --> 00:15:27.000]   the local pattern looks like a corner, okay?
[00:15:27.000 --> 00:15:29.000]   So that's one way.
[00:15:29.000 --> 00:15:32.000]   Maybe as a way to make the image look better,
[00:15:32.000 --> 00:15:35.000]   for example, blur it a bit to get rid of noise,
[00:15:35.000 --> 00:15:37.000]   or vice versa, sharpen the image,
[00:15:37.000 --> 00:15:39.000]   depending on what happened to the image before
[00:15:39.000 --> 00:15:42.000]   and what you want to do to fix it.
[00:15:42.000 --> 00:15:48.000]   Also potentially to make game more sparse.
[00:15:48.000 --> 00:15:52.000]   So instead of having, remember, if we have,
[00:15:52.000 --> 00:15:55.000]   this is partially what we did with the Fourier transform,
[00:15:55.000 --> 00:15:59.000]   for example, where we would, for simple images,
[00:15:59.000 --> 00:16:02.000]   that don't just have some wave patterns,
[00:16:02.000 --> 00:16:04.000]   if you do the Fourier transform,
[00:16:04.000 --> 00:16:06.000]   you will then just get those few peaks,
[00:16:06.000 --> 00:16:09.000]   those main patterns to be extracted,
[00:16:09.000 --> 00:16:11.000]   and all of the other frequencies would essentially
[00:16:11.000 --> 00:16:13.000]   end up being zeros.
[00:16:13.000 --> 00:16:17.000]   So this can sometimes be desired,
[00:16:17.000 --> 00:16:20.000]   and we'll look more in detail at that.
[00:16:20.000 --> 00:16:25.000]   So how to only have a few non-zero coefficients, for example.
[00:16:25.000 --> 00:16:30.000]   So now we'll look at unitary transforms.
[00:16:30.000 --> 00:16:36.000]   We'll look in particular, so here we choose,
[00:16:36.000 --> 00:16:40.000]   A, not to be an arbitrary operator here,
[00:16:40.000 --> 00:16:44.000]   linear operator, or matrix,
[00:16:44.000 --> 00:16:48.000]   but we'll actually want that matrix to,
[00:16:48.000 --> 00:16:51.000]   this to be essentially a basis transform,
[00:16:51.000 --> 00:16:54.000]   and in particular a unitary transform.
[00:16:54.000 --> 00:16:58.000]   You can think of this,
[00:16:58.000 --> 00:17:00.000]   so essentially for it to be unitary transform,
[00:17:00.000 --> 00:17:03.000]   first, if this is the size of the image,
[00:17:03.000 --> 00:17:05.000]   then this has to be square,
[00:17:05.000 --> 00:17:08.000]   because it has to be a basis transform.
[00:17:08.000 --> 00:17:11.000]   So if it's a basis transform,
[00:17:11.000 --> 00:17:14.000]   the input and the output dimension need to be the same.
[00:17:14.000 --> 00:17:17.000]   So you have your function,
[00:17:17.000 --> 00:17:19.000]   you multiply it with the square matrix,
[00:17:19.000 --> 00:17:21.000]   and you get coefficients.
[00:17:21.000 --> 00:17:24.000]   So therefore the matrix has to be mn times mn
[00:17:24.000 --> 00:17:26.000]   in terms of dimensions,
[00:17:26.000 --> 00:17:29.000]   with m times n being the size of the image.
[00:17:29.000 --> 00:17:31.000]   So these are big matrices, of course.
[00:17:31.000 --> 00:17:34.000]   And so the transform is unitary,
[00:17:34.000 --> 00:17:37.000]   if and only if the inverse of this matrix,
[00:17:37.000 --> 00:17:40.000]   if it's a basis, remember it has to be invertible for starters.
[00:17:40.000 --> 00:17:42.000]   But here we want something special from the inverse.
[00:17:42.000 --> 00:17:48.000]   We want the inverse to be equal to the,
[00:17:48.000 --> 00:17:51.000]   essentially to the transpose,
[00:17:51.000 --> 00:17:55.000]   but also essentially here with a star,
[00:17:55.000 --> 00:17:57.000]   that means that actually,
[00:17:57.000 --> 00:18:01.000]   so if this is a real matrix,
[00:18:01.000 --> 00:18:03.000]   only real numbers,
[00:18:03.000 --> 00:18:06.000]   then it's just a transpose.
[00:18:06.000 --> 00:18:08.000]   This is what you have with the rotation matrix.
[00:18:08.000 --> 00:18:11.000]   The inverse of a rotation matrix is just this transpose.
[00:18:11.000 --> 00:18:15.000]   However, this is slightly more general.
[00:18:15.000 --> 00:18:19.000]   This actually also accounts for complex matrices.
[00:18:19.000 --> 00:18:22.000]   Remember, or Fourier transform actually had complex coefficients.
[00:18:22.000 --> 00:18:27.000]   So for complex, this is what unitary is.
[00:18:27.000 --> 00:18:29.000]   Otherwise it would just be orthonormal.
[00:18:29.000 --> 00:18:31.000]   Unitary means that we actually,
[00:18:31.000 --> 00:18:34.000]   whenever we have minus i something,
[00:18:34.000 --> 00:18:37.000]   we'll change the minus i into plus i and so on.
[00:18:37.000 --> 00:18:40.000]   So this is what means the Hermitian conjugate.
[00:18:40.000 --> 00:18:43.000]   So it means that besides just transposing,
[00:18:43.000 --> 00:18:47.000]   transposing means you just do this to the matrix,
[00:18:47.000 --> 00:18:50.000]   or actually, sorry, you do this.
[00:18:50.000 --> 00:18:52.000]   Instead of doing that,
[00:18:52.000 --> 00:18:54.000]   you also, every complex number,
[00:18:54.000 --> 00:18:57.000]   if you had a plus sign, plus i times something,
[00:18:57.000 --> 00:19:00.000]   you do now minus i times something, and vice versa.
[00:19:00.000 --> 00:19:02.000]   So you change the sign of your complex,
[00:19:02.000 --> 00:19:05.000]   of your imaginary, the imaginary part of numbers.
[00:19:05.000 --> 00:19:08.000]   That's what this is here, the Hermitian conjugate.
[00:19:08.000 --> 00:19:11.000]   So this is essentially a kind of generalized transpose
[00:19:11.000 --> 00:19:14.000]   for complex matrices.
[00:19:14.000 --> 00:19:20.000]   So if a is real valued, a is equal to a star,
[00:19:20.000 --> 00:19:23.000]   the complex, the conjugate here,
[00:19:23.000 --> 00:19:27.000]   and so then it's just a equals a transpose that you require.
[00:19:27.000 --> 00:19:31.000]   That's then called an orthonormal matrix,
[00:19:31.000 --> 00:19:34.000]   and that's essentially a rotation matrix.
[00:19:34.000 --> 00:19:37.000]   That we're talking about.
[00:19:37.000 --> 00:19:40.000]   So in three-dimensional space, you see those.
[00:19:40.000 --> 00:19:44.000]   This is, if I have vectors in three-dimensional space,
[00:19:44.000 --> 00:19:47.000]   if I just rotate them around the origin,
[00:19:47.000 --> 00:19:51.000]   that's essentially what these matrices would be about.
[00:19:51.000 --> 00:19:55.000]   Now think of this in a million-dimensional space, for example.
[00:19:55.000 --> 00:19:58.000]   But the same thing is you just rotate things around.
[00:19:58.000 --> 00:20:01.000]   You change coefficients, but the key thing with rotations,
[00:20:01.000 --> 00:20:03.000]   and with these things is you don't change the length.
[00:20:03.000 --> 00:20:06.000]   If this is the length of the vector from this origin,
[00:20:06.000 --> 00:20:09.000]   this is the length of the vector, I can rotate it around
[00:20:09.000 --> 00:20:12.000]   arbitrarily into this million-dimensional space,
[00:20:12.000 --> 00:20:15.000]   but the length of the vector stays the same.
[00:20:15.000 --> 00:20:19.000]   That's what these unitary transforms are.
[00:20:19.000 --> 00:20:24.000]   So this is actually what we see here.
[00:20:24.000 --> 00:20:31.000]   For any unitary transform here, say equals a times f,
[00:20:31.000 --> 00:20:40.000]   we get the length of the vector is c Hermitian times c here,
[00:20:40.000 --> 00:20:44.000]   which is f Hermitian times a Hermitian times a times f,
[00:20:44.000 --> 00:20:47.000]   simply applying definition, applying--
[00:20:47.000 --> 00:20:54.000]   and so now we have the property that this should be true,
[00:20:54.000 --> 00:20:57.000]   because that's the definition of unitary.
[00:20:57.000 --> 00:20:59.000]   Therefore, this disappears here,
[00:20:59.000 --> 00:21:03.000]   and so therefore this is simply the length of the vector f,
[00:21:03.000 --> 00:21:07.000]   and so the length of the vector f is the same as the length of the vector c.
[00:21:07.000 --> 00:21:09.000]   So if we have a Hermitian--
[00:21:09.000 --> 00:21:13.000]   if we have a unitary transform, by definition, the length doesn't change.
[00:21:13.000 --> 00:21:19.000]   So in other words, every unitary transfer is simply a rotation
[00:21:19.000 --> 00:21:21.000]   of the coordinate system with, in addition,
[00:21:21.000 --> 00:21:24.000]   possible sine flips and stuff like that.
[00:21:24.000 --> 00:21:26.000]   But again, sine flips also, they're just mirroring,
[00:21:26.000 --> 00:21:28.000]   they also don't change the length.
[00:21:28.000 --> 00:21:32.000]   So it means that instead of this, I can do a mirroring and get this,
[00:21:32.000 --> 00:21:36.000]   but that's still the same structure, all the vectors at the same length,
[00:21:36.000 --> 00:21:42.000]   but they might change, they might be mirroring involved also.
[00:21:42.000 --> 00:21:45.000]   So the vector lengths, the energies, essentially are conserved.
[00:21:45.000 --> 00:21:50.000]   So now, is that clear to everyone?
[00:21:50.000 --> 00:21:56.000]   So then, now we'll go from applying the transformation to a single image,
[00:21:56.000 --> 00:21:59.000]   we'll actually look at a whole collection at once.
[00:21:59.000 --> 00:22:04.000]   So F_i is a single image, it's one image,
[00:22:04.000 --> 00:22:07.000]   we now stack, so these are all long vectors,
[00:22:07.000 --> 00:22:12.000]   we'll stack these long vectors, a whole collection, into one big matrix.
[00:22:12.000 --> 00:22:17.000]   So now we get, this is still, let's say, a million dimensional this way,
[00:22:17.000 --> 00:22:21.000]   and then if we have a thousand images, then we have a thousand dimensions that way.
[00:22:21.000 --> 00:22:26.000]   That's now a photo collection, let's say, an image collection.
[00:22:26.000 --> 00:22:37.000]   Okay, and now what we'll do is, we'll do, we'll compute the auto correlation function of that image collection.
[00:22:37.000 --> 00:22:40.000]   So what was correlation again?
[00:22:40.000 --> 00:22:46.000]   Correlation was kind of taking, you know, when we look at a template, at a small region of the image,
