
[00:00:00.000 --> 00:00:02.080]   (audience murmuring)
[00:06:11.920 --> 00:06:13.040]   Yes?
[00:06:13.040 --> 00:06:14.280]   You know convolutions?
[00:06:14.280 --> 00:06:19.480]   You have noticed that it is the correlations in this case.
[00:06:19.480 --> 00:06:24.080]   So do you know how a convolution works?
[00:06:24.080 --> 00:06:26.040]   The classic standard convolution?
[00:06:26.040 --> 00:06:40.640]   Okay, it's an explanation.
[00:06:41.640 --> 00:06:43.600]   But it's good that you know the difference.
[00:06:43.600 --> 00:06:46.160]   So okay, basically what your colleague said,
[00:06:46.160 --> 00:06:48.280]   but in a bit more detail is basically,
[00:06:48.280 --> 00:06:50.160]   we're having here the kernel with the coordinates,
[00:06:50.160 --> 00:06:52.480]   which is basically what you had beforehand.
[00:06:52.480 --> 00:06:53.600]   And we're having our image,
[00:06:53.600 --> 00:06:56.680]   but in this case we're not having a size of three by three.
[00:06:56.680 --> 00:06:59.240]   We just want to basically do what we can see here.
[00:06:59.240 --> 00:07:02.600]   We're having that point and we are actually spreading it.
[00:07:02.600 --> 00:07:05.880]   So basically you can see what's going to happen.
[00:07:05.880 --> 00:07:08.880]   In this case we start from the other end.
[00:07:08.880 --> 00:07:12.960]   So basically the first term is our kernel position one by one
[00:07:12.960 --> 00:07:15.600]   on the image x minus y i minus one.
[00:07:15.600 --> 00:07:18.640]   So basically who knows the next one?
[00:07:18.640 --> 00:07:20.600]   Anyone?
[00:07:20.600 --> 00:07:24.520]   Wow, okay.
[00:07:24.520 --> 00:07:28.600]   So basically that will be the first one,
[00:07:28.600 --> 00:07:30.360]   which brings us to the next one.
[00:07:30.360 --> 00:07:33.520]   So as basically you correctly said,
[00:07:33.520 --> 00:07:36.120]   in this case the filter is actually not static
[00:07:36.120 --> 00:07:38.600]   on the position, it's pivoting over it.
[00:07:38.600 --> 00:07:40.680]   So we're actually moving over the image.
[00:07:40.680 --> 00:07:42.680]   As you can see in the next,
[00:07:42.680 --> 00:07:46.280]   we're literally every time the kernel is moving
[00:07:46.280 --> 00:07:49.440]   and basically aiming for that one pixel.
[00:07:49.440 --> 00:07:52.560]   And basically this is how it's going to look.
[00:07:52.560 --> 00:07:55.840]   As you can see, okay.
[00:07:55.840 --> 00:07:58.480]   So basically this is the main difference
[00:07:58.480 --> 00:08:00.760]   between a correlation and a convolution.
[00:08:00.760 --> 00:08:05.320]   Okay, so basically this is the mathematical function
[00:08:05.320 --> 00:08:07.920]   of a convolution, which is basically a convolution
[00:08:07.920 --> 00:08:10.520]   is a kernel convoluted on an image,
[00:08:10.520 --> 00:08:13.440]   which is basically the outcome of the summation
[00:08:13.440 --> 00:08:17.920]   of a basically constant kernel on coordinates ij
[00:08:17.920 --> 00:08:21.880]   on an image x minus one i minus one minus j.
[00:08:21.880 --> 00:08:25.600]   Here you can see actually showcased
[00:08:25.600 --> 00:08:27.600]   basically the difference on the math,
[00:08:27.600 --> 00:08:30.320]   like what is the difference between one and another.
[00:08:30.320 --> 00:08:33.280]   You can see it's a change of symbols.
[00:08:33.280 --> 00:08:34.120]   Okay.
[00:08:34.120 --> 00:08:36.880]   So basically these are the two things
[00:08:36.880 --> 00:08:38.880]   you need to keep in mind because basically
[00:08:38.880 --> 00:08:41.160]   for image filters, we are going to use this.
[00:08:41.160 --> 00:08:45.760]   So yes, basically these are the two most important ones.
[00:08:45.760 --> 00:08:48.280]   So now I need you to participate
[00:08:48.280 --> 00:08:51.080]   because literally this is not going to work if you don't.
[00:08:51.080 --> 00:08:54.240]   We're having this image.
[00:08:54.240 --> 00:08:55.480]   Some of you maybe have seen it.
[00:08:55.480 --> 00:08:57.360]   This is the image of Albert Einstein.
[00:08:57.360 --> 00:08:59.000]   We're having that filter.
[00:08:59.000 --> 00:08:59.840]   What happens?
[00:08:59.840 --> 00:09:04.840]   (audience member speaking off mic)
[00:09:04.840 --> 00:09:09.720]   Exactly.
[00:09:09.720 --> 00:09:10.960]   Just remains the same.
[00:09:10.960 --> 00:09:11.960]   Can you tell us why?
[00:09:11.960 --> 00:09:18.640]   (audience member speaking off mic)
[00:09:18.640 --> 00:09:24.400]   Exactly.
[00:09:24.400 --> 00:09:28.400]   Okay, so have the next one for you.
[00:09:28.400 --> 00:09:30.000]   Original image.
[00:09:30.000 --> 00:09:30.920]   This is the convolution.
[00:09:30.920 --> 00:09:31.800]   What will happen?
[00:09:31.800 --> 00:09:33.840]   There are a lot of these.
[00:09:33.840 --> 00:09:36.160]   So the earlier you start participating,
[00:09:36.160 --> 00:09:37.360]   the funnier it gets.
[00:09:37.360 --> 00:09:39.760]   Yes?
[00:09:39.760 --> 00:09:44.760]   (audience member speaking off mic)
[00:09:44.760 --> 00:09:49.520]   Are you sure it's to the right?
[00:09:49.520 --> 00:09:56.200]   (audience member speaking off mic)
[00:09:56.880 --> 00:10:01.880]   No, so basically it's, you were sure close,
[00:10:01.880 --> 00:10:05.080]   but yeah, it's literally in the other way,
[00:10:05.080 --> 00:10:06.760]   in the other direction.
[00:10:06.760 --> 00:10:08.720]   It's just a one pixel shift.
[00:10:08.720 --> 00:10:12.240]   What happens here?
[00:10:12.240 --> 00:10:21.080]   Yes?
[00:10:21.080 --> 00:10:22.400]   (audience member speaking off mic)
[00:10:22.400 --> 00:10:23.240]   What?
[00:10:23.240 --> 00:10:24.920]   (audience member speaking off mic)
[00:10:24.920 --> 00:10:25.760]   The opposite.
[00:10:26.760 --> 00:10:30.760]   (audience member speaking off mic)
[00:10:30.760 --> 00:10:34.400]   This is like, okay, this is really a mean one.
[00:10:34.400 --> 00:10:37.480]   So it's basically, we are assuming each three by three
[00:10:37.480 --> 00:10:39.720]   neighborhood which ends up saturating the image.
[00:10:39.720 --> 00:10:42.920]   So that's why a wide image is coming out of here.
[00:10:42.920 --> 00:10:45.080]   Okay, next one.
[00:10:45.080 --> 00:10:55.080]   (audience member speaking off mic)
[00:10:55.080 --> 00:10:57.960]   Exactly, really good.
[00:10:57.960 --> 00:11:02.960]   Okay, now we have different convolutions
[00:11:02.960 --> 00:11:05.680]   that we're applying all on the same.
[00:11:05.680 --> 00:11:09.080]   Any guesses?
[00:11:09.080 --> 00:11:13.440]   Yes?
[00:11:13.440 --> 00:11:15.680]   (audience member speaking off mic)
[00:11:15.680 --> 00:11:19.400]   Nope, we are sharpening actually.
[00:11:19.400 --> 00:11:20.680]   So basically with this filter,
[00:11:20.680 --> 00:11:22.000]   what we're doing is basically,
[00:11:22.000 --> 00:11:23.320]   as you already said before,
[00:11:23.320 --> 00:11:25.720]   we have the averaging but basically we're giving
[00:11:25.720 --> 00:11:27.800]   actually more importance to the filters,
[00:11:27.800 --> 00:11:28.960]   which is this one.
[00:11:28.960 --> 00:11:30.320]   So that's why you're literally,
[00:11:30.320 --> 00:11:33.160]   it looks sharpener but just because you're enhancing
[00:11:33.160 --> 00:11:35.520]   the pixels that have actually a variation,
[00:11:35.520 --> 00:11:36.760]   like a higher number.
[00:11:36.760 --> 00:11:42.520]   Okay, so this is how a sharpened image looks.
[00:11:42.520 --> 00:11:44.960]   As you can see, so it's kind of relative
[00:11:44.960 --> 00:11:46.080]   what sharpening means.
[00:11:46.080 --> 00:11:47.960]   It's basically you're having the before image,
[00:11:47.960 --> 00:11:49.480]   you're having the after image.
[00:11:49.480 --> 00:11:52.640]   You can see we have of course sharpened details
[00:11:52.640 --> 00:11:54.680]   on the scene but we're also having more noise
[00:11:54.680 --> 00:11:56.880]   because we are enhancing also smaller details
[00:11:56.880 --> 00:11:58.800]   that we maybe don't want.
[00:11:58.800 --> 00:12:01.600]   Okay, so now that you're experts on convolutions
[00:12:01.600 --> 00:12:05.840]   and correlations, we basically have here
[00:12:05.840 --> 00:12:09.760]   just a quick reminder what we had basically.
[00:12:09.760 --> 00:12:11.960]   Yes?
[00:12:11.960 --> 00:12:16.240]   I'm sorry, these are not my slides.
[00:12:16.240 --> 00:12:21.200]   Okay, so basically as you just remind this
[00:12:21.200 --> 00:12:23.720]   because now we're going to see some outputs of MATLAB
[00:12:23.720 --> 00:12:26.320]   actually applying this kind of correlations
[00:12:26.320 --> 00:12:28.040]   and convolutions to images.
[00:12:28.040 --> 00:12:30.400]   Yes.
[00:12:30.400 --> 00:12:32.120]   So basically you can see here,
[00:12:32.120 --> 00:12:33.800]   this is how you would do this in MATLAB.
[00:12:33.800 --> 00:12:36.160]   So you're having a kernel of nine by nine
[00:12:36.160 --> 00:12:38.200]   and you're basically applying convolution
[00:12:38.200 --> 00:12:40.480]   on the image and on the kernel.
[00:12:40.480 --> 00:12:44.000]   And as you can see, we're having this image of the fishes
[00:12:44.000 --> 00:12:46.280]   and basically by applying that kernel,
[00:12:46.280 --> 00:12:48.440]   we're seeing that we are blurring it
[00:12:48.440 --> 00:12:50.400]   and basically you can also see this kind of
[00:12:50.400 --> 00:12:52.040]   interesting phenomenon which is basically
[00:12:52.040 --> 00:12:53.560]   because of the application of the kernel,
[00:12:53.560 --> 00:12:56.280]   we're getting this black border around the image
[00:12:56.280 --> 00:12:58.160]   which you will see in a bit.
[00:12:58.160 --> 00:13:00.240]   We will talk about that there's,
[00:13:00.240 --> 00:13:05.240]   this can't really get to extreme results basically.
[00:13:05.240 --> 00:13:07.960]   Okay, so here's another filter
[00:13:07.960 --> 00:13:09.880]   which is basically as you can see,
[00:13:09.880 --> 00:13:13.320]   we're having basically a vertical filter.
[00:13:13.320 --> 00:13:15.200]   So it's basically going to enhance actually
[00:13:15.200 --> 00:13:17.480]   vertical information in the image.
[00:13:17.480 --> 00:13:20.000]   So as you can see, it's quite hard to see sadly
[00:13:20.000 --> 00:13:21.840]   with the projector.
[00:13:21.840 --> 00:13:26.840]   But so we are having of course some horizontal lines,
[00:13:26.840 --> 00:13:29.920]   but they are less sharpener than actually here,
[00:13:29.920 --> 00:13:33.440]   the lines of the fishes which are basically the details.
[00:13:33.440 --> 00:13:36.400]   So basically what this filter is literally doing
[00:13:36.400 --> 00:13:40.960]   is enhancing actually the vertical information in the image.
[00:13:40.960 --> 00:13:44.120]   And basically also since it is this type of filter,
[00:13:44.120 --> 00:13:45.560]   what we're doing is we are changing,
[00:13:45.560 --> 00:13:47.760]   that's why the image is actually black.
[00:13:47.760 --> 00:13:50.960]   So basically it's actually like saturating the part
[00:13:50.960 --> 00:13:53.680]   that is stark in the other part, not.
[00:13:53.680 --> 00:13:58.680]   Okay, so basically this brings us to this kind of details,
[00:13:58.680 --> 00:14:01.560]   what happens with the edges?
[00:14:01.560 --> 00:14:03.760]   Of course we have been already having always
[00:14:03.760 --> 00:14:05.880]   this kind of nice kernel which we were applying
[00:14:05.880 --> 00:14:07.200]   in the middle of the image,
[00:14:07.200 --> 00:14:09.080]   but what do we do with the borders?
[00:14:09.080 --> 00:14:11.760]   So basically here we have different options
[00:14:11.760 --> 00:14:13.680]   to what to do.
[00:14:13.680 --> 00:14:15.680]   So basically we can do a clip filter
[00:14:15.680 --> 00:14:17.960]   which is basically this.
[00:14:17.960 --> 00:14:19.240]   We can add a black filter,
[00:14:19.240 --> 00:14:23.000]   but so basically if we apply convolution,
[00:14:23.000 --> 00:14:26.200]   we're having this which is a blurred image.
[00:14:26.200 --> 00:14:28.080]   And as you can see,
[00:14:28.080 --> 00:14:30.800]   like literally if we're cutting this out,
[00:14:30.800 --> 00:14:33.280]   we're having this black border
[00:14:33.280 --> 00:14:35.360]   which we literally don't want
[00:14:35.360 --> 00:14:37.800]   if we're applying this on images, right?
[00:14:37.800 --> 00:14:41.480]   I mean, we're basically putting artifacts
[00:14:41.480 --> 00:14:43.520]   in the image that we don't want.
[00:14:43.520 --> 00:14:44.800]   So we have a second option
[00:14:44.800 --> 00:14:47.440]   which is basically rub the image around.
[00:14:47.440 --> 00:14:48.640]   So basically as you can see,
[00:14:48.640 --> 00:14:51.840]   this is just copies of the same image,
[00:14:51.840 --> 00:14:55.160]   but does anyone can guess what the issue with this is?
[00:14:55.160 --> 00:15:03.760]   Okay, so basically as you can see in the upper part,
[00:15:03.760 --> 00:15:04.880]   so probably in an image
[00:15:04.880 --> 00:15:07.040]   that does not have that much changes,
[00:15:07.040 --> 00:15:08.400]   kind of like this would work,
[00:15:08.400 --> 00:15:10.480]   but in the upper part you can actually see
[00:15:10.480 --> 00:15:12.800]   that basically the red part
[00:15:12.800 --> 00:15:15.040]   which is the copy of this.
[00:15:15.040 --> 00:15:17.480]   If we apply convolution or a filter on it,
[00:15:17.480 --> 00:15:19.640]   we have the blur of the red.
[00:15:19.640 --> 00:15:21.720]   So you can see actually the red pixels
[00:15:21.720 --> 00:15:24.480]   are really present up there.
[00:15:24.480 --> 00:15:27.160]   So if we basically cut it out,
[00:15:27.160 --> 00:15:29.280]   we're having red artifacts in the upper part.
[00:15:29.280 --> 00:15:31.920]   So that's again, not interesting for us.
[00:15:31.920 --> 00:15:34.200]   So other options we have,
[00:15:34.200 --> 00:15:35.880]   we can copy the edges
[00:15:35.880 --> 00:15:39.440]   which basically gives you this kind of fun looking image
[00:15:39.440 --> 00:15:41.440]   which basically has,
[00:15:41.440 --> 00:15:43.320]   this is all kind of extended.
[00:15:43.320 --> 00:15:46.680]   So basically this one is actually one of the best ones
[00:15:46.680 --> 00:15:48.160]   because literally we're convoluting
[00:15:48.160 --> 00:15:49.400]   and you can already see
[00:15:49.400 --> 00:15:51.400]   that the borders are staying in the same kind
[00:15:51.400 --> 00:15:53.080]   of color patterns.
[00:15:53.080 --> 00:15:57.880]   So basically if we cut this out,
[00:15:57.880 --> 00:15:59.720]   we're actually having a blurred image.
[00:15:59.720 --> 00:16:03.840]   We don't have any random artifacts in the scene
[00:16:03.840 --> 00:16:06.280]   and it's all kind of like looking good.
[00:16:06.280 --> 00:16:09.960]   Okay, which moves us to the next one.
[00:16:10.880 --> 00:16:13.160]   We are having the reflect across,
[00:16:13.160 --> 00:16:16.160]   basically as you can see here.
[00:16:16.160 --> 00:16:19.320]   So what we're doing is we're reflecting a part of the image.
[00:16:19.320 --> 00:16:20.880]   We're actually reflecting it.
[00:16:20.880 --> 00:16:23.960]   Any guesses what will happen here?
[00:16:23.960 --> 00:16:29.240]   Yes.
[00:16:29.240 --> 00:16:32.580]   (man speaking off mic)
[00:16:32.580 --> 00:16:35.740]   (man speaking off mic)
[00:16:35.740 --> 00:16:41.860]   Exactly.
[00:16:41.860 --> 00:16:43.900]   Exactly.
[00:16:43.900 --> 00:16:44.980]   Just in this case,
[00:16:44.980 --> 00:16:47.220]   it will be much smaller than in the other case
[00:16:47.220 --> 00:16:49.300]   where we literally were duplicating the image.
[00:16:49.300 --> 00:16:50.900]   So in this case,
[00:16:50.900 --> 00:16:53.380]   if we apply the convolution,
[00:16:53.380 --> 00:16:55.620]   we won't just not see what you were mentioning
[00:16:55.620 --> 00:16:59.620]   because basically we could see this here in this line,
[00:16:59.620 --> 00:17:02.340]   but basically since it is convoluted,
[00:17:02.340 --> 00:17:04.620]   we can't really see any difference.
[00:17:04.620 --> 00:17:09.900]   And then basically this is kind of what happens cut out.
[00:17:09.900 --> 00:17:11.940]   Or the other option we have is basically
[00:17:11.940 --> 00:17:14.300]   we can vary the filter in the borders.
[00:17:14.300 --> 00:17:16.100]   So basically on the borders,
[00:17:16.100 --> 00:17:17.700]   we just change the kernel size
[00:17:17.700 --> 00:17:21.060]   to basically do the kind of adaptations.
[00:17:21.060 --> 00:17:21.900]   Okay.
[00:17:21.900 --> 00:17:24.980]   Which brings us to the next thing.
[00:17:24.980 --> 00:17:26.860]   Since we were talking about the kernel,
[00:17:26.860 --> 00:17:30.780]   lastly, basically let's talk about separable kernels.
[00:17:30.780 --> 00:17:33.340]   So basically a separate kernel
[00:17:33.340 --> 00:17:35.100]   as a part of two dependent filters
[00:17:35.100 --> 00:17:37.420]   along rows and columns respectively.
[00:17:37.420 --> 00:17:41.340]   So basically you can see F is rows, G is columns.
[00:17:41.340 --> 00:17:42.500]   So as you can see,
[00:17:42.500 --> 00:17:45.700]   this is the output of a separable kernel.
[00:17:45.700 --> 00:17:48.220]   So that's kind of the function that you're going to have
[00:17:48.220 --> 00:17:50.820]   and this can be split in these two.
[00:17:50.820 --> 00:17:52.540]   So basically what we're doing first
[00:17:52.540 --> 00:17:56.260]   is we're doing a convolution on the columns or on the rows.
[00:17:56.260 --> 00:17:58.500]   And then we're doing the second one,
[00:17:58.500 --> 00:18:00.420]   basically on both of them.
[00:18:01.380 --> 00:18:04.020]   Which basically, okay.
[00:18:04.020 --> 00:18:08.220]   Question time, I know you don't like it, but yeah.
[00:18:08.220 --> 00:18:10.580]   Which basically are the computational advantages
[00:18:10.580 --> 00:18:11.420]   of doing this?
[00:18:11.420 --> 00:18:13.980]   Any guess?
[00:18:13.980 --> 00:18:20.340]   Yes.
[00:18:20.340 --> 00:18:23.580]   (man speaking off mic)
[00:18:23.580 --> 00:18:29.300]   Exactly, that's one of the reasons.
[00:18:29.300 --> 00:18:31.220]   From a mathematical point of view,
[00:18:31.220 --> 00:18:33.540]   we're also changing, basically you can see,
[00:18:33.540 --> 00:18:37.860]   we're having complexity two M plus one multiplied two N plus one
[00:18:37.860 --> 00:18:39.740]   which basically we can actually change
[00:18:39.740 --> 00:18:44.540]   from quadratic to linear because by doing it like this,
[00:18:44.540 --> 00:18:46.740]   we transform this in a summation actually.
[00:18:46.740 --> 00:18:51.060]   So it would be two M plus one plus two N plus one.
[00:18:51.060 --> 00:18:55.100]   So basically that's why we are really using separable kernels
[00:18:55.100 --> 00:18:58.140]   because they are really interesting for us.
[00:18:58.140 --> 00:18:59.980]   Mostly, okay.
[00:18:59.980 --> 00:19:04.980]   So now you basically have talked about like blurring kernels.
[00:19:04.980 --> 00:19:08.780]   We have talked about some sharpening kernels.
[00:19:08.780 --> 00:19:11.820]   Okay, let's move to smoothing kernels.
[00:19:11.820 --> 00:19:16.220]   We have basically the low pass filters,
[00:19:16.220 --> 00:19:18.460]   which basically you have the mean filter
[00:19:18.460 --> 00:19:19.620]   which you have seen before.
[00:19:19.620 --> 00:19:22.060]   So basically this is going to blur the image
[00:19:22.060 --> 00:19:24.940]   since it is basically the top filter gives the same way
[00:19:24.940 --> 00:19:26.100]   to all the pixels.
[00:19:27.220 --> 00:19:30.860]   Basically the bottom left filter, which is that one,
[00:19:30.860 --> 00:19:34.460]   is basically giving more importance to the central pixel
[00:19:34.460 --> 00:19:36.780]   while the bottom right one also gives more importance
[00:19:36.780 --> 00:19:39.660]   to the closer pixels to the center.
[00:19:39.660 --> 00:19:42.820]   So basically you can see the difference between them.
[00:19:42.820 --> 00:19:45.620]   Why to the pixels to the center basically
[00:19:45.620 --> 00:19:50.620]   because the distance between this one is actually considered one
[00:19:50.620 --> 00:19:53.860]   while between the other ones is literally considered
[00:19:53.860 --> 00:19:55.860]   basically distance of the square root.
[00:19:55.860 --> 00:19:57.940]   So it's over one.
[00:19:57.940 --> 00:20:00.260]   So basically that's why there's bigger distance
[00:20:00.260 --> 00:20:03.940]   in the diagonals than actually on the lines.
[00:20:03.940 --> 00:20:05.980]   Okay.
[00:20:05.980 --> 00:20:10.540]   So basically yes, these are the smoothing kernels.
[00:20:10.540 --> 00:20:11.980]   You have seen them before,
