
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:05:07.440 --> 00:05:08.360]   would be one region.
[00:05:08.360 --> 00:05:14.760]   Maybe a question, what about the white pixels?
[00:05:14.760 --> 00:05:18.120]   How many regions do we have for white pixels?
[00:05:18.120 --> 00:05:20.320]   It's one region in both cases, right?
[00:05:20.320 --> 00:05:21.720]   Because we can go all around also.
[00:05:21.720 --> 00:05:33.920]   We can label each connected component of a binary image
[00:05:33.920 --> 00:05:36.080]   with a separate number.
[00:05:36.080 --> 00:05:38.880]   So for example, here, we have all the white pixels.
[00:05:38.880 --> 00:05:43.680]   So we label separately the white and the black pixels.
[00:05:43.680 --> 00:05:48.520]   And so essentially, if we label all the white pixels,
[00:05:48.520 --> 00:05:50.600]   we can go everywhere.
[00:05:50.600 --> 00:05:52.280]   We cannot reach these guys.
[00:05:52.280 --> 00:05:55.320]   This will have to be a separate region.
[00:05:55.320 --> 00:05:57.320]   But all the rest is labeled as one.
[00:05:57.320 --> 00:05:59.640]   The next region we encounter, if we just go through the image,
[00:05:59.640 --> 00:06:00.920]   will be-- now it's a black pixel,
[00:06:00.920 --> 00:06:05.000]   so different pixels that belongs to a different group.
[00:06:05.000 --> 00:06:06.040]   So we start from that one.
[00:06:06.040 --> 00:06:11.920]   So this one would be what we're doing the exercise with,
[00:06:11.920 --> 00:06:15.400]   what, four or eight connected, if you look at this.
[00:06:15.400 --> 00:06:20.440]   Four connected, right?
[00:06:20.440 --> 00:06:21.800]   Because we see that over there.
[00:06:21.800 --> 00:06:23.840]   If it was eight connected, region two and three
[00:06:23.840 --> 00:06:24.880]   would be one single region.
[00:06:24.880 --> 00:06:30.440]   And so we can see also here, this is here
[00:06:30.440 --> 00:06:32.640]   considered two regions.
[00:06:32.640 --> 00:06:34.600]   And then of course, here, we have this one
[00:06:34.600 --> 00:06:37.880]   is separate from the other white pixels.
[00:06:37.880 --> 00:06:38.480]   All make sense?
[00:06:38.480 --> 00:06:44.480]   If we just care about the foreground, for example,
[00:06:44.480 --> 00:06:47.720]   here, the white pixels, we'd only care about two regions.
[00:06:47.720 --> 00:06:50.480]   In this case, all the rest would be ignore set to zero.
[00:06:50.480 --> 00:06:57.160]   So now, if we have an image like this one here,
[00:06:57.160 --> 00:07:00.800]   we could essentially do a segmentation, something
[00:07:00.800 --> 00:07:02.960]   like this, would leave this.
[00:07:02.960 --> 00:07:06.360]   And then we could essentially look at connected regions
[00:07:06.360 --> 00:07:10.000]   and count the number of keys that are flying here
[00:07:10.000 --> 00:07:15.200]   or that are visible in the picture by counting regions.
[00:07:15.200 --> 00:07:19.960]   If we look a little bit more at these regions,
[00:07:19.960 --> 00:07:24.960]   they typically start from a seed region, point or region.
[00:07:24.960 --> 00:07:27.920]   And then you can actually--
[00:07:27.920 --> 00:07:30.000]   if we had a binary image, it was all easy.
[00:07:30.000 --> 00:07:33.360]   We could just then make a few basic decisions
[00:07:33.360 --> 00:07:35.120]   and then just count.
[00:07:35.120 --> 00:07:38.320]   And it would all be well posed.
[00:07:38.320 --> 00:07:40.560]   But if we start directly from an image,
[00:07:40.560 --> 00:07:42.480]   it might be a little bit more complicated.
[00:07:42.480 --> 00:07:46.520]   In particular, we could start from a certain point
[00:07:46.520 --> 00:07:50.960]   and then not just look if you're connected as we did before,
[00:07:50.960 --> 00:07:55.680]   but essentially decide to include neighboring pixels based
[00:07:55.680 --> 00:08:00.240]   on them satisfying a certain criteria that
[00:08:00.240 --> 00:08:02.560]   is defined for the region.
[00:08:02.560 --> 00:08:04.720]   This criteria can also be adaptive.
[00:08:04.720 --> 00:08:06.920]   It can be adjusted once you include more pixels.
[00:08:06.920 --> 00:08:09.240]   You can adjust your criteria and then potentially include
[00:08:09.240 --> 00:08:11.160]   even more pixels and things like this.
[00:08:11.160 --> 00:08:13.840]   So all of those are options.
[00:08:13.840 --> 00:08:15.880]   And so you would repeat this until you cannot include more
[00:08:15.880 --> 00:08:16.380]   pixels.
[00:08:16.380 --> 00:08:22.920]   So essentially, here's some code or some set of code.
[00:08:22.920 --> 00:08:25.360]   And so essentially, here's the decision point
[00:08:25.360 --> 00:08:30.080]   where if you can include another pixel next point given
[00:08:30.080 --> 00:08:35.800]   the seed, then you can do that.
[00:08:35.800 --> 00:08:40.200]   I leave that for you to look at by yourself.
[00:08:40.200 --> 00:08:44.720]   So let's say we start here.
[00:08:44.720 --> 00:08:47.040]   So let's try that on our duck example here.
[00:08:47.040 --> 00:08:52.600]   So how would we set this up here?
[00:08:52.600 --> 00:08:56.760]   Let's say the seed region could be a safe threshold.
[00:08:56.760 --> 00:08:58.960]   So one where you say, OK, we know that everything
[00:08:58.960 --> 00:09:01.240]   above this threshold is definitely part of the duck.
[00:09:01.240 --> 00:09:04.880]   So we'll start with this as a start region.
[00:09:04.880 --> 00:09:07.800]   T150, for example.
[00:09:07.800 --> 00:09:11.200]   So that would be the seed selection as an example,
[00:09:11.200 --> 00:09:12.800]   a very safe threshold.
[00:09:12.800 --> 00:09:14.640]   We've seen that if we take a safe threshold,
[00:09:14.640 --> 00:09:16.000]   then we're probably really good.
[00:09:16.000 --> 00:09:18.120]   It's just that once we try to go all the way with just
[00:09:18.120 --> 00:09:21.440]   a single threshold, then it becomes challenging.
[00:09:21.440 --> 00:09:23.760]   So here, instead of just doing a seed
[00:09:23.760 --> 00:09:25.760]   and taking one fixed threshold, we'll
[00:09:25.760 --> 00:09:30.040]   start there with a conservative estimate for threshold.
[00:09:30.040 --> 00:09:35.840]   And then we look at a more refined and based on connectivity
[00:09:35.840 --> 00:09:37.520]   to include more pixels.
[00:09:37.520 --> 00:09:42.080]   This can both happen at the level of the region.
[00:09:42.080 --> 00:09:46.800]   Sometimes we'll see you can also actually look at the boundary.
[00:09:46.800 --> 00:09:48.880]   Because sometimes you might say that, well,
[00:09:48.880 --> 00:09:52.400]   I'll decide to add a pixel or not based on my boundary
[00:09:52.400 --> 00:09:55.480]   following some being relatively smooth, for example,
[00:09:55.480 --> 00:09:58.760]   not making these kind of strange excursions
[00:09:58.760 --> 00:10:03.440]   along a single path and add a number of pixels that way.
[00:10:03.440 --> 00:10:06.520]   So for seed selection, you could do point and click.
[00:10:06.520 --> 00:10:07.600]   Just selecting a point.
[00:10:07.600 --> 00:10:11.360]   As we said, we can, for example, do it automatically
[00:10:11.360 --> 00:10:14.200]   based on a very conservative threshold.
[00:10:14.200 --> 00:10:17.880]   You could also indicate it by hand, multiple options there.
[00:10:17.880 --> 00:10:22.720]   You could also start from multiple seeds if you wanted to.
[00:10:22.720 --> 00:10:29.080]   OK, inclusion criteria, of course, simple gray level
[00:10:29.080 --> 00:10:32.040]   thresholding.
[00:10:32.040 --> 00:10:34.040]   You're going to say, well, we did thresholding before.
[00:10:34.040 --> 00:10:35.120]   What's different then?
[00:10:35.120 --> 00:10:38.360]   Here, we would only consider two pixels that are directly
[00:10:38.360 --> 00:10:40.600]   connected to previously included pixel.
[00:10:40.600 --> 00:10:42.560]   So this is actually a difference.
[00:10:42.560 --> 00:10:44.520]   You had another region, a small region
[00:10:44.520 --> 00:10:46.120]   somewhere else in the image.
[00:10:46.120 --> 00:10:49.240]   Remember, on the duck, all of these small regions all over,
[00:10:49.240 --> 00:10:51.080]   we would not include those this way.
[00:10:51.080 --> 00:10:52.800]   We would start from the big region,
[00:10:52.800 --> 00:10:55.800]   and then we would take maybe a weaker threshold,
[00:10:55.800 --> 00:10:58.160]   but only at pixels that are directly connected
[00:10:58.160 --> 00:10:59.800]   to the main duck region, for example.
[00:10:59.800 --> 00:11:02.720]   So this is not the same as just taking a weaker threshold all
[00:11:02.720 --> 00:11:03.560]   up for the whole image.
[00:11:03.560 --> 00:11:12.440]   And then as you see here, sometimes, beyond thresholding,
[00:11:12.440 --> 00:11:16.360]   you could also look at a color or grayscale or color
[00:11:16.360 --> 00:11:22.520]   distribution of the region, and then gradually adjust that.
[00:11:22.520 --> 00:11:24.680]   You have the option to update this.
[00:11:24.680 --> 00:11:26.760]   You add pixels, and then you say, OK, let
[00:11:26.760 --> 00:11:31.240]   me re-estimate my variance, my distribution of what
[00:11:31.240 --> 00:11:37.400]   I expect to see in the region, and then I can iterate on this.
[00:11:37.400 --> 00:11:40.720]   And so beyond gray level, of course, you can do color.
[00:11:40.720 --> 00:11:42.680]   You can also do texture.
[00:11:42.680 --> 00:11:45.640]   Now, we haven't seen yet how to characterize texture,
[00:11:45.640 --> 00:11:49.000]   how to choose that, and so on.
[00:11:49.000 --> 00:11:52.920]   In the coming weeks, we learn how you can also not only
[00:11:52.920 --> 00:11:56.000]   characterize a fixed color, but also variations, essentially.
[00:11:56.000 --> 00:11:58.480]   This will be when we'll start talking or looking
[00:11:58.480 --> 00:12:01.400]   at the Fourier transformation, which
[00:12:01.400 --> 00:12:04.160]   is essentially expressing instead of expressing things
[00:12:04.160 --> 00:12:08.160]   in individual pixels, expressing them in patterns.
[00:12:08.160 --> 00:12:12.080]   And those patterns are the basis of describing textures.
[00:12:12.080 --> 00:12:18.880]   OK, so here's an example.
[00:12:18.880 --> 00:12:21.960]   So let's say we have an image like this here.
[00:12:21.960 --> 00:12:25.720]   How could we do an inclusion criteria?
[00:12:25.720 --> 00:12:29.080]   Well, you could start from--
[00:12:29.080 --> 00:12:31.840]   let's say you started from somewhere in the image here,
[00:12:31.840 --> 00:12:34.000]   very--
[00:12:34.000 --> 00:12:37.000]   for example, a safe threshold here.
[00:12:37.000 --> 00:12:39.640]   Although there's-- you see actually a little bit here
[00:12:39.640 --> 00:12:42.840]   also included, but let's say you have something like this.
[00:12:42.840 --> 00:12:46.320]   So essentially, thresholds won't work very well here.
[00:12:46.320 --> 00:12:50.480]   In general, there's no threshold that actually works
[00:12:50.480 --> 00:12:52.120]   if you just do thresholds.
[00:12:52.120 --> 00:12:56.520]   However, if you somehow start from the middle of the region
[00:12:56.520 --> 00:12:59.040]   and over some set of neighboring pixels,
[00:12:59.040 --> 00:13:05.520]   you would fit a model that's not only looking
[00:13:05.520 --> 00:13:11.000]   at the grayscale value, but looks at the combination here
[00:13:11.000 --> 00:13:15.680]   of the grayscale value that actually expresses
[00:13:15.680 --> 00:13:18.880]   the grayscale value not purely as a constant,
[00:13:18.880 --> 00:13:21.440]   but actually as something that depends on the x and y
[00:13:21.440 --> 00:13:23.120]   coordinates.
[00:13:23.120 --> 00:13:27.160]   So this is something here that depends on the x and y
[00:13:27.160 --> 00:13:28.240]   coordinate also.
[00:13:28.240 --> 00:13:30.400]   So you have a model that combines intensity and x
[00:13:30.400 --> 00:13:31.800]   and y coordinates.
[00:13:31.800 --> 00:13:33.760]   So you can see this as--
[00:13:33.760 --> 00:13:36.680]   you can solve this for the intensity.
[00:13:36.680 --> 00:13:39.720]   And then you have this expression divided by a
[00:13:39.720 --> 00:13:41.240]   is equal to the intensity.
[00:13:41.240 --> 00:13:44.000]   So there's a linear relationship between intensity, x,
[00:13:44.000 --> 00:13:45.320]   and y coordinates.
[00:13:45.320 --> 00:13:47.160]   There's a constant here.
[00:13:47.160 --> 00:13:49.040]   Does that make sense?
[00:13:49.040 --> 00:13:50.560]   So we have now expressed--
[00:13:50.560 --> 00:13:52.280]   in some sense, you can look at this model
[00:13:52.280 --> 00:13:55.920]   as expressing the intensity as a linear combination
[00:13:55.920 --> 00:13:58.360]   of x and y coordinates.
[00:13:58.360 --> 00:14:02.960]   We're saying that essentially intensity and x and y
[00:14:02.960 --> 00:14:07.680]   coordinates all are related through a linear equation.
[00:14:07.680 --> 00:14:10.200]   And so this is this linear equation.
[00:14:10.200 --> 00:14:11.760]   We squared that.
[00:14:11.760 --> 00:14:13.720]   So we're saying the absolute value, in a sense,
[00:14:13.720 --> 00:14:16.160]   of what comes out of that equation.
[00:14:16.160 --> 00:14:18.120]   If I exactly follow this linear equation,
[00:14:18.120 --> 00:14:21.040]   I have a 0 here.
[00:14:21.040 --> 00:14:23.680]   If it's different from 0, here I square it.
[00:14:23.680 --> 00:14:25.960]   So if it's different from 0, both positive or negative.
[00:14:25.960 --> 00:14:29.120]   If I'm not on that linear constraint,
[00:14:29.120 --> 00:14:34.200]   that tells me how much I deviate from this linear model,
[00:14:34.200 --> 00:14:38.400]   I will essentially say, OK, I will threshold how close
[00:14:38.400 --> 00:14:43.120]   or not close I am to that linear model.
[00:14:43.120 --> 00:14:50.480]   The simple model was just without x, y dependency.
[00:14:50.480 --> 00:14:53.560]   We just have the intensity with--
[00:14:53.560 --> 00:14:56.040]   this expression would be 0.
[00:14:56.040 --> 00:14:59.080]   If we take those two terms away here, the x and y term,
[00:14:59.080 --> 00:15:01.280]   then we have the intensity would be--
[00:15:01.280 --> 00:15:05.400]   when the intensity is equal to d divided by a,
[00:15:05.400 --> 00:15:06.360]   this would be satisfied.
[00:15:06.360 --> 00:15:07.600]   This would be 0.
[00:15:07.600 --> 00:15:10.840]   So that's essentially just a constant.
[00:15:10.840 --> 00:15:14.320]   In this case, we add this dependency on x and y.
[00:15:14.320 --> 00:15:16.280]   If we do that, you can kind of see
[00:15:16.280 --> 00:15:19.280]   that there seems to be a linear gradient here.
[00:15:19.280 --> 00:15:20.400]   So this is brighter.
[00:15:20.400 --> 00:15:21.680]   This is darker.
[00:15:21.680 --> 00:15:26.880]   And along the way, it seems to vary kind of linearly.
[00:15:26.880 --> 00:15:30.960]   So as you move, every time you move a little bit to the left,
[00:15:30.960 --> 00:15:32.160]   it gets a little bit brighter.
[00:15:32.160 --> 00:15:34.760]   And it seems to behave kind of linear.
[00:15:34.760 --> 00:15:36.440]   So we're going to try that model.
[00:15:36.440 --> 00:15:38.760]   In a sense, we're kind of seeing,
[00:15:38.760 --> 00:15:43.840]   if you look at it at that image as a height map,
[00:15:43.840 --> 00:15:44.960]   it looks like this.
[00:15:44.960 --> 00:15:47.280]   And you kind of see that in 3D here,
[00:15:47.280 --> 00:15:50.280]   you can kind of hit a plane.
[00:15:50.280 --> 00:15:52.440]   There's some noise, but it's kind of a plane.
[00:15:52.440 --> 00:15:55.440]   The general behavior is a planar behavior.
[00:15:55.440 --> 00:16:00.360]   A planar behavior, a plane is a linear equation in 3D.
[00:16:00.360 --> 00:16:05.160]   This is a three-dimensional I, x, y, a three-dimensional equation.
[00:16:05.160 --> 00:16:07.880]   It's a linear equation in a three-dimensional space,
[00:16:07.880 --> 00:16:10.960]   the space being I, x, and y.
[00:16:10.960 --> 00:16:16.400]   This is x, y, and the vertical is I.
[00:16:16.400 --> 00:16:18.960]   Does that all make sense to everyone?
[00:16:18.960 --> 00:16:19.460]   OK.
[00:16:22.600 --> 00:16:23.100]   OK.
[00:16:23.100 --> 00:16:27.720]   So essentially, we decided to use a little bit more complicated
[00:16:27.720 --> 00:16:31.800]   inclusion criterion than just taking a threshold and saying,
[00:16:31.800 --> 00:16:34.480]   above it's in and below it's out.
[00:16:34.480 --> 00:16:37.520]   Here we say we want to be close to that relationship.
[00:16:37.520 --> 00:16:39.560]   And if it's close, it's in.
[00:16:39.560 --> 00:16:41.840]   If it's far, it's out.
[00:16:41.840 --> 00:16:43.200]   And now if we have a seed--
[00:16:43.200 --> 00:16:45.800]   let's say we have a seed over here somewhere--
[00:16:45.800 --> 00:16:49.240]   and we say, OK, we'll take a bunch of neighbors here.
[00:16:49.240 --> 00:16:51.840]   We'll kind of do an approximation.
[00:16:51.840 --> 00:16:56.160]   So we'll fit to a few points around here.
[00:16:56.160 --> 00:16:59.600]   We'll fit a linear plane here.
[00:16:59.600 --> 00:17:03.720]   We'll solve the linear equation for all of those points.
[00:17:03.720 --> 00:17:06.040]   We'll approximately solve it because they will not
[00:17:06.040 --> 00:17:07.640]   be an exact solution.
[00:17:07.640 --> 00:17:08.920]   It's not exactly a plane.
[00:17:08.920 --> 00:17:10.600]   It's approximately a plane.
[00:17:10.600 --> 00:17:13.680]   So we'll solve this in a least square sense.
[00:17:13.680 --> 00:17:15.880]   Best solution in least squares.
[00:17:15.880 --> 00:17:18.720]   You've all seen that in the algebra normally.
[00:17:18.720 --> 00:17:22.200]   So we'll solve this for some pixels.
[00:17:22.200 --> 00:17:24.600]   We'll get a model.
[00:17:24.600 --> 00:17:29.360]   And then what we do is we now use essentially that model.
[00:17:29.360 --> 00:17:32.640]   That will be our inclusion model.
[00:17:32.640 --> 00:17:33.920]   This guy.
[00:17:33.920 --> 00:17:37.000]   We essentially-- what we do is we do the difference between this
[00:17:37.000 --> 00:17:38.800]   and this.
[00:17:38.800 --> 00:17:44.240]   And where we close, it's in, where we far it's out.
[00:17:44.240 --> 00:17:46.880]   And so in this case, we will kind of in one go
[00:17:46.880 --> 00:17:48.520]   have the full segmentation.
[00:17:48.520 --> 00:17:50.560]   I mean, in one go, iteratively.
[00:17:50.560 --> 00:17:53.480]   So we take a few pixels, fit the plane,
[00:17:53.480 --> 00:17:56.040]   and then say everything that agrees with this, we take in.
[00:17:56.040 --> 00:17:58.120]   Everything that disagrees is out.
[00:17:58.120 --> 00:18:01.200]   Potentially, you might have to run this a few times.
[00:18:01.200 --> 00:18:03.560]   If, let's say, the first time around, you almost had the plane,
[00:18:03.560 --> 00:18:06.520]   but it was still a little bit tilted the wrong way,
[00:18:06.520 --> 00:18:08.080]   in the middle, it will be good enough.
[00:18:08.080 --> 00:18:11.880]   You will add a bunch of pixels, grow the region.
[00:18:11.880 --> 00:18:14.080]   But it might be that the edges, you were still
[00:18:14.080 --> 00:18:15.840]   a little bit too far off.
[00:18:15.840 --> 00:18:17.400]   Because we have a threshold here,
[00:18:17.400 --> 00:18:21.320]   it might be that the model is not great yet
[00:18:21.320 --> 00:18:24.000]   at fitting the corners further away,
[00:18:24.000 --> 00:18:25.640]   because the plane is a little bit tilted.
[00:18:25.640 --> 00:18:28.920]   So the absolute distance is larger, further away
[00:18:28.920 --> 00:18:31.200]   from the middle where you fitted it.
[00:18:31.200 --> 00:18:33.120]   And so maybe you do an iteration.
[00:18:33.120 --> 00:18:34.360]   You rerun it.
[00:18:34.360 --> 00:18:35.400]   You include more pixels.
[00:18:35.400 --> 00:18:36.280]   You rerun it.
[00:18:36.280 --> 00:18:39.160]   You fit the plane better, because now you have more pixels included.
[00:18:39.160 --> 00:18:41.280]   And then after a few iterations, you
[00:18:41.280 --> 00:18:43.120]   have the whole plane, essentially.
[00:18:43.120 --> 00:18:46.280]   That's how it would work.
[00:18:46.280 --> 00:18:55.560]   And I think this is after--
[00:18:55.560 --> 00:18:56.280]   I'm not really sure.
[00:18:56.280 --> 00:18:58.120]   Anyways, it looks already quite separated.
[00:18:58.120 --> 00:18:59.520]   So I think it's after.
[00:18:59.520 --> 00:19:01.760]   But I'm not sure if it's the histogram before after.
[00:19:01.760 --> 00:19:04.160]   Anyways, once you've done this, you can actually properly
[00:19:04.160 --> 00:19:06.080]   separate.
[00:19:06.080 --> 00:19:08.920]   You see also that there might be a few pixels here
[00:19:08.920 --> 00:19:12.280]   that get close to inclusion.
[00:19:12.280 --> 00:19:15.600]   So that's kind of what you see here.
[00:19:15.600 --> 00:19:18.120]   So you see if you fit the plane here,
[00:19:18.120 --> 00:19:22.000]   it's probably going to be not too far from those edge points.
[00:19:22.000 --> 00:19:22.800]   The edge points are here.
[00:19:22.800 --> 00:19:23.920]   The plane is going like this.
[00:19:23.920 --> 00:19:33.680]   Now we look a little bit at the boundary.
[00:19:33.680 --> 00:19:39.800]   Are there things that one could do there?
[00:19:39.800 --> 00:19:42.680]   In particular, one example is snakes.
[00:19:42.680 --> 00:19:45.560]   This is a type of active contour.
[00:19:45.560 --> 00:19:49.520]   It's essentially a polygon, which is an ordered set of points
[00:19:49.520 --> 00:19:51.720]   joined by lines.
[00:19:51.720 --> 00:19:53.120]   Each of those points on the contour
[00:19:53.120 --> 00:19:57.160]   moves away from the seed while its image neighborhood
[00:19:57.160 --> 00:20:00.840]   satisfies an inclusion criterion.
[00:20:00.840 --> 00:20:04.600]   So here instead of growing pixel by pixel arbitrarily,
[00:20:04.600 --> 00:20:07.440]   as long as it's satisfied, we keep adding pixels.
[00:20:07.440 --> 00:20:08.400]   So we add pixels.
[00:20:08.400 --> 00:20:08.720]   We look.
[00:20:08.720 --> 00:20:11.400]   Is there another-- all of my neighboring pixels.
[00:20:11.400 --> 00:20:13.720]   Does any of them satisfy the criterion?
[00:20:13.720 --> 00:20:15.160]   We keep adding them.
[00:20:15.160 --> 00:20:16.640]   And as soon as we add a pixel, that
[00:20:16.640 --> 00:20:18.360]   means there's new neighboring pixels.
[00:20:18.360 --> 00:20:20.440]   So we keep going at it.
[00:20:20.440 --> 00:20:23.360]   Here we do that in a slightly more controlled way.
[00:20:23.360 --> 00:20:25.160]   We actually move a neighborhood at a time.
[00:20:25.160 --> 00:20:26.760]   So we cannot just include one pixel.
[00:20:26.760 --> 00:20:28.760]   If we move the boundary, we include a whole bunch
[00:20:28.760 --> 00:20:30.480]   of pixels at the same time.
[00:20:30.480 --> 00:20:32.400]   So we do it in a more structured way.
[00:20:32.400 --> 00:20:35.360]   And we want to keep control of the shape of this boundary.
[00:20:35.360 --> 00:20:42.320]   And often the contour also has to satisfy a smoothness
[00:20:42.320 --> 00:20:43.560]   constraint.
[00:20:43.560 --> 00:20:46.720]   So we're not going to allow it to somehow make a really long
[00:20:46.720 --> 00:20:49.200]   extension out, but we'll want to keep
[00:20:49.200 --> 00:20:55.520]   the bending of this contour to also satisfy some constraints.
[00:20:55.520 --> 00:21:01.640]   For example, this paper here was a seminal paper in that space.
