
[00:00:00.000 --> 00:00:02.760]   Okay, good morning everyone.
[00:11:57.320 --> 00:12:02.320]   but it will probably be the first time you look at geometric spaces,
[00:12:02.320 --> 00:12:07.320]   you know, you will get some intuition for geometric spaces that are not one, two, or three dimensional,
[00:12:07.320 --> 00:12:10.320]   but actually are maybe million dimensional, okay?
[00:12:10.320 --> 00:12:12.320]   What are those million dimensions?
[00:12:12.320 --> 00:12:16.320]   Well, it's essentially every pixel is one dimension, right?
[00:12:16.320 --> 00:12:19.320]   So you can represent the image as a huge vector space.
[00:12:19.320 --> 00:12:26.320]   All the images, all possible images, a huge vector space where every pixel is one dimension.
[00:12:26.320 --> 00:12:30.320]   Okay, so if you have a million pixels in your image, you have a million dimensions, right?
[00:12:30.320 --> 00:12:33.320]   So you got to represent the image as a million dimensional vector, okay?
[00:12:33.320 --> 00:12:37.320]   We'll cover all of these things much more in detail, so at this point it is all a bit fuzzy,
[00:12:37.320 --> 00:12:39.320]   and you don't understand this is normal, okay?
[00:12:39.320 --> 00:12:43.320]   I'm going now over the whole lecture in, you know, brief introduction,
[00:12:43.320 --> 00:12:47.320]   but it's just giving you a preview a little bit and we'll put things in context
[00:12:47.320 --> 00:12:52.320]   so you can go more in depth through the lecture, okay?
[00:12:52.320 --> 00:12:59.320]   So essentially an image, if you look at it as a million dimensional vector,
[00:12:59.320 --> 00:13:03.320]   it's essentially every pixel is kind of one dimension of that vector, okay?
[00:13:03.320 --> 00:13:09.320]   And that's essentially not necessarily a great way to represent and understand some of those,
[00:13:09.320 --> 00:13:14.320]   some of those effects that we'll encounter as we manipulate those images.
[00:13:14.320 --> 00:13:19.320]   And so we'll choose then a change of basis, which, you know, in a three-dimensional XYZ space
[00:13:19.320 --> 00:13:23.320]   would be a change of basis, a rotation of the space, right?
[00:13:23.320 --> 00:13:26.320]   You reparameterize your space by rotating it around.
[00:13:26.320 --> 00:13:34.320]   Here, you know, it's also, we'll actually look at, here, unitary transforms,
[00:13:34.320 --> 00:13:36.320]   Fourier transform also, unitary transform.
[00:13:36.320 --> 00:13:42.320]   Unitary transforms actually transforms that actually correspond to the equivalent of rotations.
[00:13:42.320 --> 00:13:49.320]   You know, rotations are transformations of 3D space that don't change the,
[00:13:49.320 --> 00:13:52.320]   that don't change the length of vectors, right?
[00:13:52.320 --> 00:13:56.320]   So you rotate around, you can move around, like, let's say in particular you rotate around,
[00:13:56.320 --> 00:14:01.320]   if I have a vector that's this long, you know, in this basis, and then I change it,
[00:14:01.320 --> 00:14:07.320]   now it has different coordinates in the basis, but the length of the vector is still the same, okay?
[00:14:07.320 --> 00:14:11.320]   That's this type of transformations, but this unitary transform, again,
[00:14:11.320 --> 00:14:15.320]   we'll apply them not on two or three-dimensional space, we'll apply them on a million-dimensional space,
[00:14:15.320 --> 00:14:17.320]   or, you know, maybe only a thousand-dimensional space.
[00:14:17.320 --> 00:14:23.320]   Let's say you do a 30 by 30 patch representing a template of a face, for example.
[00:14:23.320 --> 00:14:29.320]   So you have 900 numbers that represent how a face looks like if you kind of do a cutout.
[00:14:29.320 --> 00:14:33.320]   Then you can do unitary transform on this 900-dimensional space.
[00:14:33.320 --> 00:14:37.320]   Okay, we'll look both at generic transforms, like the Fourier transform.
[00:14:37.320 --> 00:14:45.320]   We'll also look at specific transforms that are adjusted to a particular problem.
[00:14:45.320 --> 00:14:53.320]   I already told you which problem, for example, doing face recognition or finding faces, recognizing faces,
[00:14:53.320 --> 00:14:57.320]   you know, being able to kind of look at different faces, for example, you know,
[00:14:57.320 --> 00:15:02.320]   so that when, you know, I want to unlock my phone, I just hold my face in front of the phone,
[00:15:02.320 --> 00:15:07.320]   and it will essentially be able to unlock it because it actually recognizes it's my face in front of it, right?
[00:15:07.320 --> 00:15:10.320]   Or actually the same with my laptop, okay?
[00:15:10.320 --> 00:15:15.320]   So therefore we need to, given an image, be able to say, you know, to go to a vector space
[00:15:15.320 --> 00:15:21.320]   and then say, is this the right vector or is it close enough to the person I'm trying to recognize
[00:15:21.320 --> 00:15:23.320]   versus any other person.
[00:15:23.320 --> 00:15:27.320]   And so we'll see that these transformations transforming to a particular problem,
[00:15:27.320 --> 00:15:32.320]   we can actually work in lower-dimensional spaces and we don't have to work in 900-dimensional space,
[00:15:32.320 --> 00:15:36.320]   which could be very expensive, but we can work in a much more compact space
[00:15:36.320 --> 00:15:41.320]   where the actual features that matter will be there.
[00:15:41.320 --> 00:15:50.320]   The, this will also be fundamental, the more generic transforms of the type,
[00:15:50.320 --> 00:15:53.320]   will be fundamental also in image compression, okay?
[00:15:53.320 --> 00:15:59.320]   As I kind of hinted, if you have an image, you know, roughly a thousand by a thousand pixels here on the screen,
[00:15:59.320 --> 00:16:05.320]   that's a million numbers, that's actually a million numbers for a grayscale image.
[00:16:05.320 --> 00:16:10.320]   If you have a color image, we won't talk too much about this, this is more in the graphics part,
[00:16:10.320 --> 00:16:13.320]   what color actually is, we'll briefly talk about it in sensing,
[00:16:13.320 --> 00:16:18.320]   but for now, for this part of the lecture, you can assume, okay, color actually,
[00:16:18.320 --> 00:16:25.320]   because of the way our eyes perceive color, which is not physical full-spectrum, you know, color,
[00:16:25.320 --> 00:16:30.320]   we actually have three different types of color-sensitive sensors in our eyes.
[00:16:30.320 --> 00:16:36.320]   So in a sense, what we perceive is red, green, you know, variations of combinations of red, green and blue,
[00:16:36.320 --> 00:16:41.320]   RGB, which you might have seen on screens or other things.
[00:16:41.320 --> 00:16:49.320]   So because we perceive these three colors, we need screens to at least, you know,
[00:16:49.320 --> 00:16:54.320]   play around with combinations of also those three colors, red, green and blue.
[00:16:54.320 --> 00:16:57.320]   If you would actually look very close at the screen here, you might be able to see,
[00:16:57.320 --> 00:17:00.320]   or some of the screens you might be able to see actually dots,
[00:17:00.320 --> 00:17:04.320]   when you look very close, red, green and blue dots on the screen.
[00:17:04.320 --> 00:17:10.320]   So that means actually instead of a single number per point,
[00:17:10.320 --> 00:17:13.320]   you actually need three numbers if it's a color image, okay?
[00:17:13.320 --> 00:17:21.320]   So that means already three million numbers, so if you only use eight bits per,
[00:17:21.320 --> 00:17:26.320]   and we'll discuss that also, but if you only use eight bits per, you know, per color,
[00:17:26.320 --> 00:17:29.320]   that's still three megabytes for a pretty simple image.
[00:17:29.320 --> 00:17:34.320]   If you now talk about a video, you know, it's actually sending images here at 60 frames per second,
[00:17:34.320 --> 00:17:37.320]   it's always the same image, so that would be cheap to compress.
[00:17:37.320 --> 00:17:43.320]   But let's say I play a video here, we'd be talking about three megabytes times 60 hertz.
[00:17:43.320 --> 00:17:47.320]   You know, you can already start seeing that you're, you know,
[00:17:47.320 --> 00:17:53.320]   what you thought was a really high bandwidth, you know, a few gigabits to your home, you know,
[00:17:53.320 --> 00:17:59.320]   fiber would quickly be, you know, fully filled with a single video stream, okay?
[00:17:59.320 --> 00:18:02.320]   So clearly we need compression.
[00:18:02.320 --> 00:18:10.320]   So first we look at single image compression, which is using these transforms.
[00:18:10.320 --> 00:18:15.320]   And then we'll look at also after that, at video.
[00:18:15.320 --> 00:18:21.320]   Now it turns out at video, you know, what is important in video,
[00:18:21.320 --> 00:18:30.320]   if you want to understand and compress videos also, is to see, you know,
[00:18:30.320 --> 00:18:35.320]   like if I look at this scene, for example, I see mostly the same stuff,
[00:18:35.320 --> 00:18:38.320]   except that, you know, some of you are moving a bit around and so on,
[00:18:38.320 --> 00:18:44.320]   or in general if I film a random scene from frame to frame, not that much will change,
[00:18:44.320 --> 00:18:46.320]   except that some things are moving, right?
[00:18:46.320 --> 00:18:51.320]   Or I'm moving and therefore the visually everything moves around me because I'm moving.
[00:18:51.320 --> 00:18:56.320]   But if I move from here to here, I still see all the same stuff, almost all the same stuff.
[00:18:56.320 --> 00:18:59.320]   There's a few things occluded and disoccluded.
[00:18:59.320 --> 00:19:03.320]   But mostly I see the same things, I just see them in a different place in my field of view,
[00:19:03.320 --> 00:19:05.320]   or same with the camera.
[00:19:05.320 --> 00:19:09.320]   You would see the same things, almost the same pixels, almost the same image content,
[00:19:09.320 --> 00:19:12.320]   but slightly, you know, in a different part of the image.
[00:19:12.320 --> 00:19:16.320]   Okay, so the way we'll do compression for video, and the way we'll also do anything
[00:19:16.320 --> 00:19:21.320]   that tries to understand videos and so on, is first by really trying to find, you know,
[00:19:21.320 --> 00:19:25.320]   something we call optical flow, it's actually trying to see how things move in the image.
[00:19:25.320 --> 00:19:28.320]   You know, that stuff was over here and now it moved over there,
[00:19:28.320 --> 00:19:31.320]   we'll try to compute that from images.
[00:19:31.320 --> 00:19:35.320]   And this will be also the basis to be able to do compression.
[00:19:35.320 --> 00:19:40.320]   Because then the way we'll explain it is, okay, this new image that I now have to explain,
[00:19:40.320 --> 00:19:45.320]   based on the previous image, I take this patch over here and I just move it over here,
[00:19:45.320 --> 00:19:51.320]   or actually vice versa, I will say, the patch here that I want to, you know,
[00:19:51.320 --> 00:19:56.320]   rebuild for the new image or transmit for the next image, this patch over here, you know,
[00:19:56.320 --> 00:20:00.320]   just go look a little bit to the left and to, you know, a little bit lower in the previous image.
[00:20:00.320 --> 00:20:06.320]   So take this patch, copy it over here in the new image, and that will give you a good starting point.
[00:20:06.320 --> 00:20:12.320]   It won't be perfect, so we'll still need some additional stuff based on normal image compression.
[00:20:12.320 --> 00:20:16.320]   You say, okay, and you do a collage from all the patches from the previous image,
[00:20:16.320 --> 00:20:20.320]   let's say in a simple way, you do this collage based on how things moved around,
[00:20:20.320 --> 00:20:25.320]   and then you say, okay, now I have to do touch-ups, and then I'll use normal image compression
[00:20:25.320 --> 00:20:28.320]   to explain what touch-ups I have to do.
[00:20:28.320 --> 00:20:35.320]   That's in two minutes the lecture that we'll have on video compression.
[00:20:35.320 --> 00:20:40.320]   We'll also talk about radon transforms.
[00:20:40.320 --> 00:20:47.320]   This is one, we'll have one lecture where we'll go into more medical image processing.
[00:20:47.320 --> 00:20:53.320]   All the images we look at for the rest are typically going to be images that just look at surfaces.
[00:20:53.320 --> 00:20:58.320]   So we have light sources that, you know, send light out, so photons go out,
[00:20:58.320 --> 00:21:04.320]   they hit surfaces, they bounce off, part of it gets absorbed, part of it bounces around,
[00:21:04.320 --> 00:21:07.320]   and then if you put a camera somewhere, or you have your eyes somewhere,
[00:21:07.320 --> 00:21:11.320]   that light will kind of be measured how much light is reflected on surfaces
[00:21:11.320 --> 00:21:14.320]   from every direction based on the lighting there.
[00:21:14.320 --> 00:21:19.320]   So you only look at surfaces typically, or, you know, mostly really surfaces.
[00:21:19.320 --> 00:21:24.320]   You have some transparent things and so on, but mostly you look at surfaces.
[00:21:24.320 --> 00:21:27.320]   With radon transform or with medical imaging,
[00:21:27.320 --> 00:21:30.320]   you're actually interested at doing images through, you know,
[00:21:30.320 --> 00:21:33.320]   like not of the surface of the person, but actually through the body,
[00:21:33.320 --> 00:21:35.320]   measure what's inside.
[00:21:35.320 --> 00:21:39.320]   So there we'll actually use still the same geometric, you know, like a pixel,
[00:21:39.320 --> 00:21:45.320]   a point, an image point will be measured at what comes in from a ray in space.
[00:21:45.320 --> 00:21:50.320]   So like if I look in that direction, I, you know, my eye sees whatever is first
[00:21:50.320 --> 00:21:52.320]   in that direction when I look at surfaces.
[00:21:52.320 --> 00:21:55.320]   For image, medical imaging, it will be different.
[00:21:55.320 --> 00:21:57.320]   I'll be looking with x-rays or something.
[00:21:57.320 --> 00:22:01.320]   I'll be looking all the way through, and I see kind of everything that's along the line,
[00:22:01.320 --> 00:22:03.320]   all the way through the body, for example.
[00:22:03.320 --> 00:22:07.320]   And I just see the brightest thing like, or the accumulation of everything through the body
[00:22:07.320 --> 00:22:09.320]   in a particular way.
[00:22:09.320 --> 00:22:14.320]   It turns out that to understand that, and to model again mathematically that process,
[00:22:14.320 --> 00:22:20.320]   and represent that, and analyze that, there's this random transform that's very useful.
[00:22:20.320 --> 00:22:24.320]   It's also, I also like to discuss it because it's actually also closely coupled
[00:22:24.320 --> 00:22:27.320]   to the Fourier transform, it shows, and so it gives you another insight
[00:22:27.320 --> 00:22:32.320]   in what the Fourier transform is doing and can be doing.
[00:22:32.320 --> 00:22:39.320]   And so it also explains a little bit the basis of, you know, CT imaging and things like this.
[00:22:39.320 --> 00:22:41.320]   So computational tomography.
[00:22:41.320 --> 00:22:47.320]   So the typical, like, how medical imaging kind of some of the basis for that.
[00:22:47.320 --> 00:22:54.320]   And then we'll finish with this, this is the first time we'll actually cover this topic in this lecture.
[00:22:54.320 --> 00:23:00.320]   But we'll then discuss also convolutional neural networks,
[00:23:00.320 --> 00:23:04.320]   which will actually also bring back a lot of those steps.
[00:23:04.320 --> 00:23:08.320]   The image segmentation is actually a nonlinear operator,
[00:23:08.320 --> 00:23:13.320]   but then everything we see after that mostly, the convolutions and filters and so on,
[00:23:13.320 --> 00:23:16.320]   are all linear filters.
[00:23:16.320 --> 00:23:20.320]   They'll have the interesting property that if you apply a linear filter
[00:23:20.320 --> 00:23:23.320]   and then a second linear filter behind it, and a third linear filter,
[00:23:23.320 --> 00:23:26.320]   and you know, any number of linear filters that you want,
[00:23:26.320 --> 00:23:31.320]   up to saturating your, you know, your 8 bits and, you know, and things like this.
[00:23:31.320 --> 00:23:35.320]   But up to, if you assume that you have, you don't have issues of saturations
[00:23:35.320 --> 00:23:38.320]   or, you know, not having enough precision or so, up to that,
[00:23:38.320 --> 00:23:42.320]   all of those linear filters, if you apply 10 linear filters after each other,
[00:23:42.320 --> 00:23:45.320]   you could actually replace that by a single linear filter.
[00:23:45.320 --> 00:23:50.320]   It's guaranteed you actually could apply the filters to each other,
[00:23:50.320 --> 00:23:54.320]   and that makes a big filter, and then you just take that big filter as a single operation
[00:23:54.320 --> 00:23:59.320]   and apply to the image, and you would have the same effect as the 10 linear filters in a row.
[00:23:59.320 --> 00:24:03.320]   So linear filters somehow, they don't do that means, you know,
[00:24:03.320 --> 00:24:06.320]   in a sense they do very interesting things, but in the other hand,
[00:24:06.320 --> 00:24:10.320]   they don't combine in a very interesting way because they just kind of keep combining into,
[00:24:10.320 --> 00:24:14.320]   you know, you can all collapse them to a single linear operation.
[00:24:14.320 --> 00:24:19.320]   So at some level, they don't, they're not that interesting.
[00:24:19.320 --> 00:24:24.320]   You find them everywhere, but they only, they're limited in how much they can do.
[00:24:24.320 --> 00:24:30.320]   Convolutional neural nets are essentially, there's one small difference
[00:24:30.320 --> 00:24:35.320]   when they apply all those filters in a network, a deep neural network,
[00:24:35.320 --> 00:24:40.320]   so they will have actually many in a row, apply many small filters in a row,
