
[00:00:00.000 --> 00:00:02.120]   (gentle music)
[00:07:49.260 --> 00:07:52.340]   being less than or equal to a particular value,
[00:07:52.340 --> 00:07:54.520]   which we denote by a small x.
[00:07:54.520 --> 00:07:58.340]   So this P of x will be always between zero and one.
[00:07:58.340 --> 00:08:01.580]   So you get a hundred percent probability
[00:08:01.580 --> 00:08:04.600]   of being less than or equal to infinity.
[00:08:04.600 --> 00:08:06.620]   That's in the one D case.
[00:08:08.980 --> 00:08:13.420]   So if this CDF is differentiable,
[00:08:13.420 --> 00:08:17.620]   we can take the derivative of it
[00:08:17.620 --> 00:08:21.660]   to get the probability density function,
[00:08:21.660 --> 00:08:22.940]   or we call the PDF,
[00:08:22.940 --> 00:08:26.860]   which has the property or has the constraint
[00:08:26.860 --> 00:08:29.380]   that it has to be non-negative,
[00:08:29.380 --> 00:08:33.820]   but this one can have arbitrarily high values.
[00:08:33.820 --> 00:08:37.020]   But it should integrate to one.
[00:08:37.020 --> 00:08:40.660]   And here, like this integration should be over,
[00:08:40.660 --> 00:08:44.260]   over like some domain, like intervals or some areas,
[00:08:44.260 --> 00:08:45.940]   if you have multiple dimensions,
[00:08:45.940 --> 00:08:47.620]   but like here we just omitted it.
[00:08:47.620 --> 00:08:54.300]   And we can also compute the probability
[00:08:54.300 --> 00:09:00.540]   of this random variable x being in a certain range,
[00:09:00.540 --> 00:09:02.460]   certain interval between a and b.
[00:09:02.460 --> 00:09:06.060]   So that's the probability of x between a and b.
[00:09:06.060 --> 00:09:10.020]   We can compute that as an integral
[00:09:10.020 --> 00:09:14.700]   of the probability density function from a to b.
[00:09:14.700 --> 00:09:19.380]   And yeah, that's some sort of 101, calculus 101.
[00:09:19.380 --> 00:09:24.380]   So that would be the CDF at b minus the CDF at a.
[00:09:24.380 --> 00:09:30.300]   In particular, we will be using
[00:09:30.300 --> 00:09:32.780]   this uniform random variables a lot
[00:09:32.780 --> 00:09:35.420]   during these sampling methods.
[00:09:36.180 --> 00:09:40.820]   Especially the canonical uniform random variable,
[00:09:40.820 --> 00:09:43.740]   which has the PDF equals to one
[00:09:43.740 --> 00:09:46.380]   between the domain of zero and one,
[00:09:46.380 --> 00:09:49.660]   between the interval zero and one and zero everywhere else.
[00:09:49.660 --> 00:09:53.500]   So the reason we will use this is because
[00:09:53.500 --> 00:09:55.820]   the pseudo random number generators
[00:09:55.820 --> 00:09:57.260]   that we have in our computers,
[00:09:57.260 --> 00:09:58.700]   they often give,
[00:09:58.700 --> 00:10:03.060]   they often are able to give random numbers
[00:10:03.060 --> 00:10:05.100]   between that range.
[00:10:05.100 --> 00:10:08.980]   So as you may know that these random number generators
[00:10:08.980 --> 00:10:10.780]   are typically not truly random,
[00:10:10.780 --> 00:10:15.140]   but for our purposes I think they are good enough.
[00:10:15.140 --> 00:10:22.860]   Right, so given random variable x,
[00:10:22.860 --> 00:10:25.460]   according to some distribution p,
[00:10:25.460 --> 00:10:28.060]   we can say transform it with a function
[00:10:28.060 --> 00:10:32.820]   and get another random variable y equals f of x.
[00:10:32.820 --> 00:10:35.020]   And then we can have the expected value
[00:10:35.020 --> 00:10:37.740]   or the expectation of y,
[00:10:37.740 --> 00:10:39.620]   notice e of y,
[00:10:39.620 --> 00:10:43.220]   as the integral of f, basically this transformation,
[00:10:43.220 --> 00:10:48.220]   this fx times the probability density over the domain.
[00:10:48.220 --> 00:10:52.020]   And this is like one of the fundamental things
[00:10:52.020 --> 00:10:54.500]   that we will see very, very often.
[00:10:54.500 --> 00:10:58.180]   Yeah, almost everywhere.
[00:10:58.180 --> 00:11:01.540]   Then the variance would be also an expectation,
[00:11:01.540 --> 00:11:04.860]   but this expectation is over the square difference
[00:11:04.860 --> 00:11:09.860]   between the random variable itself and its expectation.
[00:11:09.860 --> 00:11:13.940]   So with these two definitions,
[00:11:13.940 --> 00:11:16.580]   we can derive these properties.
[00:11:16.580 --> 00:11:21.460]   So first we would know that this expectation is linear.
[00:11:21.460 --> 00:11:23.620]   That is if you multiply it by,
[00:11:23.620 --> 00:11:25.500]   multiply the random variable by a constant,
[00:11:25.500 --> 00:11:28.060]   you can take that out and compute the variance
[00:11:28.060 --> 00:11:32.260]   or if you add together two random variables,
[00:11:32.260 --> 00:11:35.580]   their expectation would also just be added up.
[00:11:35.580 --> 00:11:38.700]   But for variance, because there is a square,
[00:11:38.700 --> 00:11:41.300]   you need to take the square of the constant
[00:11:41.300 --> 00:11:46.300]   and you can only add up the variance of two random variables
[00:11:46.300 --> 00:11:49.300]   if they are independent.
[00:11:49.300 --> 00:11:52.780]   Otherwise there should be this covariance term
[00:11:52.780 --> 00:11:56.420]   that we, between these two random variables.
[00:11:57.540 --> 00:11:59.940]   And from these properties,
[00:11:59.940 --> 00:12:03.420]   we can actually get a formula that we typically use
[00:12:03.420 --> 00:12:04.340]   to compute the variance,
[00:12:04.340 --> 00:12:08.180]   which is by taking the expectation of the square
[00:12:08.180 --> 00:12:10.700]   minus the square of the expectation.
[00:12:10.700 --> 00:12:16.780]   All right, so question so far.
[00:12:16.780 --> 00:12:20.420]   Yeah, good sign.
[00:12:23.660 --> 00:12:26.660]   All right, now we are going to this,
[00:12:26.660 --> 00:12:31.340]   we're going closer to the Monte Carlo domain
[00:12:31.340 --> 00:12:35.420]   by looking at like this expected value.
[00:12:35.420 --> 00:12:37.220]   We can express it as an integral,
[00:12:37.220 --> 00:12:40.420]   but then we can also estimate the expected value
[00:12:40.420 --> 00:12:45.100]   by taking some samples from the distribution, P of X,
[00:12:45.100 --> 00:12:49.100]   and averaging basically their function values.
[00:12:50.580 --> 00:12:54.260]   So note that these XIs should also be independent.
[00:12:54.260 --> 00:12:59.220]   So then per strong law of large numbers,
[00:12:59.220 --> 00:13:03.420]   we get the following equation,
[00:13:03.420 --> 00:13:07.180]   which states that if we have enough samples,
[00:13:07.180 --> 00:13:15.180]   we will just get to the correct expected value.
[00:13:15.180 --> 00:13:17.740]   So this estimator would be,
[00:13:17.740 --> 00:13:21.100]   say correct if you have enough number of samples.
[00:13:21.100 --> 00:13:25.420]   Yeah, so that is,
[00:13:25.420 --> 00:13:27.220]   so we're now going closer and closer
[00:13:27.220 --> 00:13:31.180]   to what we actually want to do with Monte Carlo integration,
[00:13:31.180 --> 00:13:36.180]   which here we actually want to integrate some function
[00:13:36.180 --> 00:13:39.820]   without this P of X,
[00:13:39.820 --> 00:13:44.460]   we just want to integrate F of X over some domain D.
[00:13:45.500 --> 00:13:48.340]   And we can call that value the true value F.
[00:13:48.340 --> 00:13:55.140]   So to use this estimator or to use this average
[00:13:55.140 --> 00:13:58.420]   that we saw in the last slides,
[00:13:58.420 --> 00:14:03.420]   we just say come up with a distribution P of X
[00:14:03.420 --> 00:14:08.180]   and then do some manipulation so that like,
[00:14:08.180 --> 00:14:13.180]   it goes with the form that we've seen before.
[00:14:14.460 --> 00:14:18.940]   So now here the FX would actually be F over P.
[00:14:18.940 --> 00:14:22.340]   And now if we sample according to P of X,
[00:14:22.340 --> 00:14:25.740]   if we have random numbers sampled according
[00:14:25.740 --> 00:14:26.860]   to this distribution,
[00:14:26.860 --> 00:14:30.860]   we can compute an estimate of this integral
[00:14:30.860 --> 00:14:35.460]   by taking a lot of samples and averaging them.
[00:14:35.460 --> 00:14:37.780]   So if we use N samples,
[00:14:37.780 --> 00:14:41.700]   we can denote the resulting value as FN.
[00:14:41.700 --> 00:14:46.420]   Yeah, so that is an N sample estimator of this integral.
[00:14:46.420 --> 00:14:56.100]   After this, we will see this simple,
[00:14:56.100 --> 00:15:00.140]   well this one D example of Monte Carlo integration
[00:15:00.140 --> 00:15:04.020]   where we have this function,
[00:15:04.020 --> 00:15:06.140]   the exponential of,
[00:15:06.140 --> 00:15:09.100]   so E to the sine of three X squared.
[00:15:09.980 --> 00:15:11.580]   Yeah, it's a lovely function.
[00:15:11.580 --> 00:15:15.940]   Yeah, very hard to integrate by hand.
[00:15:15.940 --> 00:15:21.700]   And we say we want to take the integral between zero and one.
[00:15:21.700 --> 00:15:27.340]   So here's what we're gonna do.
[00:15:27.340 --> 00:15:33.900]   By taking this estimator with N samples,
[00:15:33.900 --> 00:15:38.900]   we want to just come up with the probability distribution P
[00:15:39.900 --> 00:15:44.900]   and sample from it and then average the values of F over P.
[00:15:44.900 --> 00:15:47.900]   So now F would be this function that we're interested in.
[00:15:47.900 --> 00:15:53.700]   And to implement this, it's actually pretty simple.
[00:15:53.700 --> 00:15:58.700]   We would generate random numbers and calculate,
[00:15:58.700 --> 00:16:03.660]   yeah and calculate basically the evaluated function F
[00:16:03.660 --> 00:16:06.780]   and sum them up and then divide by the number of samples.
[00:16:08.380 --> 00:16:12.980]   So yeah, there might be one thing that seems missing
[00:16:12.980 --> 00:16:16.100]   which is here the P there.
[00:16:16.100 --> 00:16:21.100]   Like here we are not dividing by any P, that is because
[00:16:21.100 --> 00:16:23.740]   when we are calling this D run 48,
[00:16:23.740 --> 00:16:27.900]   it typically gives a random like float or double
[00:16:27.900 --> 00:16:29.860]   between the interval of zero and one.
[00:16:29.860 --> 00:16:34.340]   So the PDF is one and we don't need to actually deal with it.
[00:16:36.140 --> 00:16:41.140]   So this is like the simplest form
[00:16:41.140 --> 00:16:43.300]   of the Monte Carlo integration.
[00:16:43.300 --> 00:16:53.500]   But then we may want to compute a more generalized integral
[00:16:53.500 --> 00:17:00.940]   over an interval of A and B.
[00:17:00.940 --> 00:17:04.620]   And now we can still take a random number
[00:17:04.620 --> 00:17:06.740]   by calling this D run 48 function
[00:17:06.740 --> 00:17:09.420]   but that random number is no longer
[00:17:09.420 --> 00:17:11.460]   within the range of our interest.
[00:17:11.460 --> 00:17:18.700]   So we need to transform it to be between A and B.
[00:17:18.700 --> 00:17:23.180]   So now I think we also assume that A is less than B.
[00:17:23.180 --> 00:17:31.780]   And now we also need to note that the probability density
[00:17:31.780 --> 00:17:35.060]   changes from one to one over B minus A.
[00:17:35.060 --> 00:17:39.380]   And that means we need to somehow divide by it
[00:17:39.380 --> 00:17:41.100]   and after some simplification,
[00:17:41.100 --> 00:17:43.940]   you can see that we can just multiply the final result
[00:17:43.940 --> 00:17:45.580]   by B minus A.
[00:17:45.580 --> 00:17:54.420]   All right, so if we were to run this procedure,
[00:17:54.420 --> 00:18:01.100]   run this program with enough samples,
[00:18:01.100 --> 00:18:06.100]   we can see that the result would say converge
[00:18:06.100 --> 00:18:10.180]   to some value that should be the correct,
[00:18:10.180 --> 00:18:13.180]   should be the correct integral in the end.
[00:18:13.180 --> 00:18:17.860]   And I think it would also help if like,
[00:18:17.860 --> 00:18:21.340]   you can implement this simple program yourself
[00:18:21.340 --> 00:18:23.420]   and try to see what you get
[00:18:23.420 --> 00:18:25.300]   if you have lower number of samples
[00:18:25.300 --> 00:18:26.540]   or higher number of samples,
[00:18:26.540 --> 00:18:28.540]   or if you change the function,
[00:18:28.540 --> 00:18:32.620]   or if you can also change the interval or the PDF,
[00:18:32.620 --> 00:18:34.020]   but changing the PDF is something
[00:18:34.020 --> 00:18:36.180]   that we'll actually talk about later.
[00:18:36.180 --> 00:18:37.980]   Yes?
[00:18:37.980 --> 00:18:42.980]   (audience member speaking off microphone)
[00:18:42.980 --> 00:18:56.620]   So here, the question is,
[00:18:58.180 --> 00:19:00.420]   so what is the difference between--
[00:19:00.420 --> 00:19:05.420]   (audience member speaking off microphone)
[00:19:05.420 --> 00:19:11.860]   Yeah, so I think if we take,
[00:19:11.860 --> 00:19:14.260]   so with this random approach,
[00:19:14.260 --> 00:19:18.260]   what you can get is that with enough number of samples,
[00:19:18.260 --> 00:19:23.060]   like, or yeah, you'll be guaranteed
[00:19:23.060 --> 00:19:24.340]   to get to the correct result,
[00:19:24.340 --> 00:19:29.340]   but yeah, I think if we take this discrete set of samples,
[00:19:29.340 --> 00:19:37.100]   so for example, you can take 10 or can take 20 there.
[00:19:37.100 --> 00:19:45.180]   I think this one is, I think it can be just biased,
[00:19:45.180 --> 00:19:47.980]   like you just don't get to the correct value
[00:19:47.980 --> 00:19:52.020]   depending on like the function itself, I think,
[00:19:52.020 --> 00:19:54.100]   like given a limited number of samples.
[00:19:54.100 --> 00:19:59.260]   Yeah, and I think probably that's the main thing,
[00:19:59.260 --> 00:20:02.620]   it's not so general also,
[00:20:02.620 --> 00:20:04.820]   if you want to sample on this dimension
[00:20:04.820 --> 00:20:09.820]   as a discrete set of, or like at the equal steps,
[00:20:09.820 --> 00:20:15.580]   then say we go to two dimensions, three dimensions there,
[00:20:15.580 --> 00:20:20.420]   like you will need, say exponentially more samples
[00:20:20.420 --> 00:20:25.420]   to create this grid to do this sort of integration quadrature.
[00:20:25.420 --> 00:20:30.340]   Yeah, I think maybe this dimensionality
[00:20:30.340 --> 00:20:31.780]   is actually the main reason,
[00:20:31.780 --> 00:20:35.860]   like we would still focus on this Monte Carlo method,
[00:20:35.860 --> 00:20:39.500]   like it does not suffer the curse of dimensionality,
[00:20:39.500 --> 00:20:42.460]   like if say on one D, yes, I think indeed,
[00:20:42.460 --> 00:20:47.460]   if we use some more advanced techniques, numerical methods,
[00:20:47.900 --> 00:20:51.220]   we would get faster convergence,
[00:20:51.220 --> 00:20:56.220]   but yeah, but that would not generalize
[00:20:56.220 --> 00:21:01.380]   to actually say the path that we sample in the scenes,
[00:21:01.380 --> 00:21:06.380]   and yeah, it would not be as efficient, I think,
[00:21:06.380 --> 00:21:09.940]   but I think we will later see,
[00:21:09.940 --> 00:21:11.820]   I think a little bit mentioned in the lecture,
[00:21:11.820 --> 00:21:14.060]   also in a later lecture,
[00:21:14.060 --> 00:21:17.140]   where we do this random sampling,
[00:21:17.140 --> 00:21:22.140]   because people find that if you get these true random numbers,
[00:21:22.140 --> 00:21:25.660]   if you use true random numbers,
[00:21:25.660 --> 00:21:28.780]   you get this convergence rate of one over square root of n,
[00:21:28.780 --> 00:21:33.020]   because so the error goes down relatively slowly,
[00:21:33.020 --> 00:21:37.060]   but then there is this stratified sampling,
[00:21:37.060 --> 00:21:40.420]   so you divide this domain, say, into 10 intervals
[00:21:40.420 --> 00:21:43.900]   and take a random sample from each of them,
[00:21:43.900 --> 00:21:48.500]   and there you're guaranteed to not increase the variance,
[00:21:48.500 --> 00:21:51.860]   so you can somehow get lower error,
[00:21:51.860 --> 00:21:56.860]   and you can also develop this quasi Monte Carlo methods
[00:21:56.860 --> 00:22:02.900]   which use these sequences of, let's say, quasi random,
[00:22:02.900 --> 00:22:06.460]   these sequences, low discrepancy sequences,
[00:22:06.460 --> 00:22:11.460]   which are say random in a sense, but also well distributed,
[00:22:11.580 --> 00:22:15.460]   so they would also give, like, avoid sort of
[00:22:15.460 --> 00:22:19.740]   this discontinuities problem that this should also
[00:22:19.740 --> 00:22:23.300]   give the unbiased or just correct result in expectation,
[00:22:23.300 --> 00:22:26.100]   but they would converge faster
[00:22:26.100 --> 00:22:28.260]   than just using true random numbers.
[00:22:28.260 --> 00:22:32.140]   Yeah, I hope that's, maybe that's a bit much,
[00:22:32.140 --> 00:22:34.060]   so other questions, yes?
[00:22:34.060 --> 00:22:36.620]   - So just reading over the code,
[00:22:36.620 --> 00:22:39.980]   is it correct to say that the value of the Monte Carlo
[00:22:39.980 --> 00:22:43.900]   integration is just the average value
[00:22:43.900 --> 00:22:45.860]   of the valuation of the function
[00:22:45.860 --> 00:22:47.620]   over some set of N samples?
[00:22:47.620 --> 00:22:54.500]   - I think, yes, but there is this PDF that you need
[00:22:54.500 --> 00:22:57.380]   to divide by, yes.
[00:22:57.380 --> 00:23:00.900]   So yes, the value of the Monte Carlo estimator
[00:23:00.900 --> 00:23:04.540]   of this integral is the average of some samples,
[00:23:04.540 --> 00:23:08.580]   function values over its sampling PDF.
[00:23:09.420 --> 00:23:14.420]   - Right, so I think visually,
[00:23:14.420 --> 00:23:19.100]   you can interpret this Monte Carlo integral
[00:23:19.100 --> 00:23:24.100]   as either we take some random height of the function
[00:23:24.100 --> 00:23:29.340]   and say this is an average height
[00:23:29.340 --> 00:23:32.780]   and then we multiply that by the width of the interval,
[00:23:32.780 --> 00:23:36.300]   or we can treat it as like this
[00:23:38.500 --> 00:23:42.460]   random area, we sample some random area
[00:23:42.460 --> 00:23:45.020]   of the area under the curve
[00:23:45.020 --> 00:23:47.060]   and then take an average of it.
[00:23:47.060 --> 00:23:52.820]   Right, so in summary,
[00:23:52.820 --> 00:23:55.860]   the goal of Monte Carlo integration is to integrate,
[00:23:55.860 --> 00:24:00.260]   and we integrate by using random sampling,
[00:24:00.260 --> 00:24:04.180]   so we have probability distribution
[00:24:04.180 --> 00:24:09.180]   and we would sample a lot from it, independent samples,
[00:24:09.180 --> 00:24:14.020]   and then we compute the Monte Carlo estimator
[00:24:14.020 --> 00:24:17.940]   with, by computing the function f divided by p
[00:24:17.940 --> 00:24:21.300]   and averaging them, and in expectation,
[00:24:21.300 --> 00:24:25.700]   we would get the correct answer, basically.
[00:24:25.700 --> 00:24:31.820]   The expectation of the estimator is the true integral.
[00:24:32.100 --> 00:24:37.100]   So the last property actually makes it an unbiased estimator,
[00:24:37.100 --> 00:24:40.300]   so that's the definition of unbiased,
[00:24:40.300 --> 00:24:43.620]   that's the expected value equals the true thing.
[00:24:43.620 --> 00:24:47.660]   And also as we discussed before,
[00:24:47.660 --> 00:24:50.780]   the extension to higher dimensions is straightforward
[00:24:50.780 --> 00:24:54.020]   because the number of samples is chosen by us
[00:24:54.020 --> 00:24:56.420]   and it's independent of the dimension,
[00:24:56.420 --> 00:25:00.660]   like to be able to say reach a certain error bounds,
[00:25:00.660 --> 00:25:05.580]   but yeah, I'm not familiar anymore with those techniques,
[00:25:05.580 --> 00:25:09.340]   so maybe, yeah, it's further reading for me.
[00:25:09.340 --> 00:25:15.540]   And then there is this convergence rate
[00:25:15.540 --> 00:25:18.660]   of one over the square root of n,
[00:25:18.660 --> 00:25:23.660]   so if we want to reduce the error of Monte Carlo integration
[00:25:23.660 --> 00:25:27.940]   by a factor of two, we need four times as many samples,
[00:25:27.940 --> 00:25:32.940]   so consider rendering, say, we're rendering a scene
[00:25:32.940 --> 00:25:35.380]   for one day and we saw the image
[00:25:35.380 --> 00:25:36.580]   and we want half the error,
[00:25:36.580 --> 00:25:39.660]   and that means we need to render for three more days.
[00:25:39.660 --> 00:25:44.660]   So error here is measured in terms of standard deviation
[00:25:44.660 --> 00:25:48.820]   or standard error, and the reason behind this one
